id_escola,nome_canonico,assessora,ano_escolar,componente,presente_2025,presente_2026,proficiencia_media_2025,proficiencia_media_2026,previstos_2025,previstos_2026
ESC_013,EMEF ESPIRITO SANTO,priscila,1,Língua Portuguesa,FALSE,TRUE,,41,,18
ESC_014,EMEF EVARISTO GONCALVES NETTO,jalize,1,Língua Portuguesa,FALSE,TRUE,,6,,24
ESC_056,EEF ALDEIA LUMIAR,,2,Língua Portuguesa,TRUE,FALSE,65.17647058823529,,22,
ESC_013,EMEF ESPIRITO SANTO,priscila,2,Língua Portuguesa,FALSE,TRUE,,49,,16
ESC_014,EMEF EVARISTO GONCALVES NETTO,jalize,2,Língua Portuguesa,FALSE,TRUE,,16.967741935483872,,39
ESC_056,EEF ALDEIA LUMIAR,,3,Língua Portuguesa,TRUE,FALSE,77.23529411764706,,23,
ESC_013,EMEF ESPIRITO SANTO,priscila,3,Língua Portuguesa,FALSE,TRUE,,20,,24
ESC_014,EMEF EVARISTO GONCALVES NETTO,jalize,3,Língua Portuguesa,FALSE,TRUE,,18,,25
ESC_056,EEF ALDEIA LUMIAR,,4,Língua Portuguesa,TRUE,FALSE,77.8125,,20,
ESC_013,EMEF ESPIRITO SANTO,priscila,4,Língua Portuguesa,FALSE,TRUE,,72,,17
ESC_014,EMEF EVARISTO GONCALVES NETTO,jalize,4,Língua Portuguesa,FALSE,TRUE,,40.23076923076923,,34
ESC_056,EEF ALDEIA LUMIAR,,5,Língua Portuguesa,TRUE,FALSE,67,,20,
ESC_013,EMEF ESPIRITO SANTO,priscila,5,Língua Portuguesa,FALSE,TRUE,,49,,13
ESC_014,EMEF EVARISTO GONCALVES NETTO,jalize,5,Língua Portuguesa,FALSE,TRUE,,63,,17
ESC_021,EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR,julia,5,Língua Portuguesa,FALSE,TRUE,,78,,22
