ordem_dicionario,variavel,presente_perfil_completo,presente_perfil_gerencial,presente_perfil_serie_compacto,origem,classe_r,tipo_canonico,nivel_analise,descricao,observacao_metodologica
1,id_escola,TRUE,TRUE,TRUE,dim_escola_final homologada no módulo 15,character,character,escola,Variável herdada do módulo 15: id escola.,
2,codigo_inep,TRUE,TRUE,TRUE,dim_escola_final homologada no módulo 15,character,character,escola,Variável herdada do módulo 15: codigo inep.,
3,nome_inep,TRUE,TRUE,FALSE,dim_escola_final homologada no módulo 15,character,character,escola,Variável herdada do módulo 15: nome inep.,
4,nome_canonico,TRUE,TRUE,TRUE,dim_escola_final homologada no módulo 15,character,character,escola,Variável herdada do módulo 15: nome canonico.,
5,nome_vinculo_original,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,character,character,escola,Variável herdada do módulo 15: nome vinculo original.,
6,chave_nome,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,character,character,escola,Variável herdada do módulo 15: chave nome.,
7,assessora,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,character,character,escola,"Campo legado preservado exclusivamente no perfil completo para rastreabilidade; proibido para exposição, carga ou atribuição gerencial.",Campo legado; não utilizar em qualquer produto analítico ou gerencial.
8,metodo_correspondencia_inep,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,character,character,escola,Variável herdada do módulo 15: metodo correspondencia inep.,
9,status_codigo_inep,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,character,character,escola,Variável herdada do módulo 15: status codigo inep.,
10,observacao_codigo_inep,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,character,character,escola,Variável herdada do módulo 15: observacao codigo inep.,
11,tipo_vinculo_rede,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,character,character,escola,Variável herdada do módulo 15: tipo vinculo rede.,
12,exposicao_2025_1av,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,integer,integer,escola,Variável herdada do módulo 15: exposicao 2025 1av.,
13,programa_iniciado_apos_2025_1av,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,logical,logical,escola,Variável herdada do módulo 15: programa iniciado apos 2025 1av.,
14,dose_assessoramento_observada,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,logical,logical,escola,Variável herdada do módulo 15: dose assessoramento observada.,
15,possivel_municipalizacao_recente,TRUE,TRUE,FALSE,dim_escola_final homologada no módulo 15,logical,logical,escola,Variável herdada do módulo 15: possivel municipalizacao recente.,
16,escola_nova_recente,TRUE,TRUE,FALSE,dim_escola_final homologada no módulo 15,character,character,escola,Variável herdada do módulo 15: escola nova recente.,
17,status_rede_2025,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,character,character,escola,Variável herdada do módulo 15: status rede 2025.,
18,observacao_historico,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,character,character,escola,Variável herdada do módulo 15: observacao historico.,
19,status_validacao,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,character,character,escola,Variável herdada do módulo 15: status validacao.,
20,dependencia_administrativa_2024,TRUE,TRUE,FALSE,dim_escola_final homologada no módulo 15,character,character,escola,Variável herdada do módulo 15: dependencia administrativa 2024.,
21,situacao_funcionamento_2024,TRUE,TRUE,FALSE,dim_escola_final homologada no módulo 15,character,character,escola,Variável herdada do módulo 15: situacao funcionamento 2024.,
22,grupo_administrativo_2024_final,TRUE,TRUE,TRUE,dim_escola_final homologada no módulo 15,character,character,escola,Variável herdada do módulo 15: grupo administrativo 2024 final.,
23,ano_contexto,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,numeric,double,escola,Variável herdada do módulo 15: ano contexto.,
24,fonte_contexto,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,character,character,escola,Variável herdada do módulo 15: fonte contexto.,
25,contexto_pre_programa,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,logical,logical,escola,Variável herdada do módulo 15: contexto pre programa.,
26,rede,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,numeric,double,escola,Variável herdada do módulo 15: rede.,
27,tipo_categoria_escola_privada,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,numeric,double,escola,Variável herdada do módulo 15: tipo categoria escola privada.,
28,tipo_localizacao,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,numeric,double,escola,Variável herdada do módulo 15: tipo localizacao.,
29,tipo_localizacao_diferenciada,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,numeric,double,escola,Variável herdada do módulo 15: tipo localizacao diferenciada.,
30,tipo_situacao_funcionamento,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,numeric,double,escola,Variável herdada do módulo 15: tipo situacao funcionamento.,
31,poder_publico_parceria,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,numeric,double,escola,Variável herdada do módulo 15: poder publico parceria.,
32,tipo_poder_publico_parceria,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,numeric,double,escola,Variável herdada do módulo 15: tipo poder publico parceria.,
33,conveniada_poder_publico,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,logical,logical,escola,Variável herdada do módulo 15: conveniada poder publico.,
34,tipo_convenio_poder_publico,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,logical,logical,escola,Variável herdada do módulo 15: tipo convenio poder publico.,
35,matriculas_anos_iniciais,TRUE,TRUE,FALSE,dim_escola_final homologada no módulo 15,numeric,double,escola,Variável herdada do módulo 15: matriculas anos iniciais.,
36,turmas_anos_iniciais,TRUE,TRUE,FALSE,dim_escola_final homologada no módulo 15,numeric,double,escola,Variável herdada do módulo 15: turmas anos iniciais.,
37,docentes_anos_iniciais,TRUE,TRUE,FALSE,dim_escola_final homologada no módulo 15,numeric,double,escola,Variável herdada do módulo 15: docentes anos iniciais.,
38,alunos_por_turma_anos_iniciais,TRUE,TRUE,FALSE,dim_escola_final homologada no módulo 15,numeric,double,escola,Variável herdada do módulo 15: alunos por turma anos iniciais.,
39,alunos_por_docente_anos_iniciais,TRUE,TRUE,FALSE,dim_escola_final homologada no módulo 15,numeric,double,escola,Variável herdada do módulo 15: alunos por docente anos iniciais.,
40,porte_anos_iniciais,TRUE,TRUE,FALSE,dim_escola_final homologada no módulo 15,character,character,escola,Variável herdada do módulo 15: porte anos iniciais.,
41,quartil_porte_anos_iniciais,TRUE,TRUE,TRUE,"módulo 15 / contexto escolar 2024; variável herdada, não recalculada no módulo 16",numeric,double,escola,Variável herdada do módulo 15: quartil porte anos iniciais.,Variável contextual herdada do módulo 15/contexto 2024; não recalculada no módulo 16.
42,pct_matriculas_anos_iniciais_integral,TRUE,TRUE,FALSE,dim_escola_final homologada no módulo 15,numeric,double,escola,Variável herdada do módulo 15: pct matriculas anos iniciais integral.,
43,pct_matriculas_educacao_especial,TRUE,TRUE,FALSE,dim_escola_final homologada no módulo 15,numeric,double,escola,Variável herdada do módulo 15: pct matriculas educacao especial.,
44,pct_matriculas_transporte_publico,TRUE,TRUE,FALSE,dim_escola_final homologada no módulo 15,numeric,double,escola,Variável herdada do módulo 15: pct matriculas transporte publico.,
45,pct_matriculas_preta_parda_indigena,TRUE,TRUE,FALSE,dim_escola_final homologada no módulo 15,numeric,double,escola,Variável herdada do módulo 15: pct matriculas preta parda indigena.,
46,indice_infraestrutura_basica,TRUE,TRUE,FALSE,dim_escola_final homologada no módulo 15,numeric,double,escola,Variável herdada do módulo 15: indice infraestrutura basica.,
47,ano,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,integer,integer,escola,Variável herdada do módulo 15: ano.,
48,sigla_uf,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,character,character,escola,Variável herdada do módulo 15: sigla uf.,
49,id_municipio,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,numeric,double,escola,Variável herdada do módulo 15: id municipio.,
50,vinculo_secretaria_educacao,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,numeric,double,escola,Variável herdada do módulo 15: vinculo secretaria educacao.,
51,etapa_ensino_infantil,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,numeric,double,escola,Variável herdada do módulo 15: etapa ensino infantil.,
52,etapa_ensino_fundamental,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,numeric,double,escola,Variável herdada do módulo 15: etapa ensino fundamental.,
53,etapa_ensino_fundamental_anos_iniciais,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,numeric,double,escola,Variável herdada do módulo 15: etapa ensino fundamental anos iniciais.,
54,etapa_ensino_fundamental_anos_finais,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,numeric,double,escola,Variável herdada do módulo 15: etapa ensino fundamental anos finais.,
55,etapa_ensino_medio,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,numeric,double,escola,Variável herdada do módulo 15: etapa ensino medio.,
56,etapa_ensino_eja,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,numeric,double,escola,Variável herdada do módulo 15: etapa ensino eja.,
57,etapa_ensino_especial,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,numeric,double,escola,Variável herdada do módulo 15: etapa ensino especial.,
58,quantidade_matricula_educacao_basica,TRUE,TRUE,FALSE,dim_escola_final homologada no módulo 15,numeric,double,escola,Variável herdada do módulo 15: quantidade matricula educacao basica.,
59,quantidade_matricula_infantil,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,numeric,double,escola,Variável herdada do módulo 15: quantidade matricula infantil.,
60,quantidade_matricula_fundamental,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,numeric,double,escola,Variável herdada do módulo 15: quantidade matricula fundamental.,
61,quantidade_matricula_fundamental_anos_iniciais,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,numeric,double,escola,Variável herdada do módulo 15: quantidade matricula fundamental anos iniciais.,
62,quantidade_matricula_fundamental_1_ano,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,numeric,double,escola,Variável herdada do módulo 15: quantidade matricula fundamental 1 ano.,
63,quantidade_matricula_fundamental_2_ano,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,numeric,double,escola,Variável herdada do módulo 15: quantidade matricula fundamental 2 ano.,
64,quantidade_matricula_fundamental_3_ano,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,numeric,double,escola,Variável herdada do módulo 15: quantidade matricula fundamental 3 ano.,
65,quantidade_matricula_fundamental_4_ano,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,numeric,double,escola,Variável herdada do módulo 15: quantidade matricula fundamental 4 ano.,
66,quantidade_matricula_fundamental_5_ano,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,numeric,double,escola,Variável herdada do módulo 15: quantidade matricula fundamental 5 ano.,
67,quantidade_matricula_fundamental_anos_finais,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,numeric,double,escola,Variável herdada do módulo 15: quantidade matricula fundamental anos finais.,
68,quantidade_matricula_eja,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,numeric,double,escola,Variável herdada do módulo 15: quantidade matricula eja.,
69,quantidade_matricula_especial,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,numeric,double,escola,Variável herdada do módulo 15: quantidade matricula especial.,
70,quantidade_matricula_especial_comum,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,numeric,double,escola,Variável herdada do módulo 15: quantidade matricula especial comum.,
71,quantidade_matricula_especial_exclusiva,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,numeric,double,escola,Variável herdada do módulo 15: quantidade matricula especial exclusiva.,
72,quantidade_matricula_feminino,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,numeric,double,escola,Variável herdada do módulo 15: quantidade matricula feminino.,
73,quantidade_matricula_masculino,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,numeric,double,escola,Variável herdada do módulo 15: quantidade matricula masculino.,
74,quantidade_matricula_branca,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,numeric,double,escola,Variável herdada do módulo 15: quantidade matricula branca.,
75,quantidade_matricula_preta,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,numeric,double,escola,Variável herdada do módulo 15: quantidade matricula preta.,
76,quantidade_matricula_parda,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,numeric,double,escola,Variável herdada do módulo 15: quantidade matricula parda.,
77,quantidade_matricula_amarela,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,numeric,double,escola,Variável herdada do módulo 15: quantidade matricula amarela.,
78,quantidade_matricula_indigena,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,numeric,double,escola,Variável herdada do módulo 15: quantidade matricula indigena.,
79,quantidade_matricula_nao_declarada,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,numeric,double,escola,Variável herdada do módulo 15: quantidade matricula nao declarada.,
80,quantidade_matricula_fundamental_integral,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,numeric,double,escola,Variável herdada do módulo 15: quantidade matricula fundamental integral.,
81,quantidade_matricula_fundamental_anos_iniciais_integral,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,numeric,double,escola,Variável herdada do módulo 15: quantidade matricula fundamental anos iniciais integral.,
82,quantidade_matricula_fundamental_anos_finais_integral,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,numeric,double,escola,Variável herdada do módulo 15: quantidade matricula fundamental anos finais integral.,
83,quantidade_matricula_utiliza_transporte_publico,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,numeric,double,escola,Variável herdada do módulo 15: quantidade matricula utiliza transporte publico.,
84,quantidade_docente_educacao_basica,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,numeric,double,escola,Variável herdada do módulo 15: quantidade docente educacao basica.,
85,quantidade_docente_fundamental,TRUE,FALSE,FALSE,dim_escola_final homologada no módulo 15,numeric,double,escola,Variável herdada do módulo 15: quantidade docente fundamental.,
