fonte,coluna_obrigatoria,presente
dim_escola_final,id_escola,TRUE
dim_escola_final,codigo_inep,TRUE
dim_escola_final,nome_canonico,TRUE
dim_escola_final,assessora_gerencial,TRUE
dim_escola_final,grupo_administrativo_2024_final,TRUE
dim_escola_final,tipo_vinculo_rede_final,TRUE
dim_escola_final,status_rede_2025_final,TRUE
dim_escola_final,matriculas_anos_iniciais,TRUE
dim_escola_final,turmas_anos_iniciais,TRUE
dim_escola_final,docentes_anos_iniciais,TRUE
dim_escola_final,indice_infraestrutura_basica,TRUE
base_final_escola_serie,id_escola,TRUE
base_final_escola_serie,codigo_inep,TRUE
base_final_escola_serie,nome_canonico,TRUE
base_final_escola_serie,assessora_gerencial,TRUE
base_final_escola_serie,ano_escolar,TRUE
base_final_escola_serie,componente,TRUE
base_final_escola_serie,painel_resultado_balanceado,TRUE
base_final_escola_serie,amostra_principal_descritiva,TRUE
base_final_escola_serie,grupo_administrativo_2024_final,TRUE
base_final_escola_serie,tipo_vinculo_rede_final,TRUE
base_final_escola_serie,status_rede_2025_final,TRUE
base_final_escola_serie,presente_2025,TRUE
base_final_escola_serie,presente_2026,TRUE
base_final_escola_serie,resultado_disponivel_2025,TRUE
base_final_escola_serie,resultado_disponivel_2026,TRUE
base_final_escola_serie,previstos_2025,TRUE
base_final_escola_serie,avaliados_2025,TRUE
base_final_escola_serie,taxa_participacao_2025,TRUE
base_final_escola_serie,proficiencia_media_2025,TRUE
base_final_escola_serie,pct_defasagem_2025,TRUE
base_final_escola_serie,pct_intermediario_2025,TRUE
base_final_escola_serie,pct_adequado_2025,TRUE
base_final_escola_serie,previstos_2026,TRUE
base_final_escola_serie,avaliados_2026,TRUE
base_final_escola_serie,taxa_participacao_2026,TRUE
base_final_escola_serie,proficiencia_media_2026,TRUE
base_final_escola_serie,pct_defasagem_2026,TRUE
base_final_escola_serie,pct_intermediario_2026,TRUE
base_final_escola_serie,pct_adequado_2026,TRUE
base_final_escola_serie,delta_participacao,TRUE
base_final_escola_serie,delta_proficiencia,TRUE
base_final_escola_serie,delta_pct_defasagem,TRUE
base_final_escola_serie,delta_pct_intermediario,TRUE
base_final_escola_serie,delta_pct_adequado,TRUE
base_final_escola_serie,variacao_relativa_previstos,TRUE
base_final_escola_serie,variacao_relativa_avaliados,TRUE
base_final_escola_serie,aumento_participacao_10pp,TRUE
base_final_escola_serie,queda_participacao_10pp,TRUE
base_final_escola_serie,mudanca_previstos_20pct,TRUE
base_final_escola_serie,observacao_composicao,TRUE
