id_escola,codigo_inep,nome_canonico,assessora_gerencial,numero_series_comparaveis,numero_series_aumento_participacao_10pp,numero_series_queda_participacao_10pp,numero_series_mudanca_previstos_20pct,numero_series_alerta_composicao,variacao_relativa_previstos_escola,variacao_relativa_avaliados_escola,delta_participacao_escola,observacoes_composicao
ESC_007,43187560,EMEF CHAPEU DO SOL,ruti,5,4,0,1,5,-7.191780821917808,9.862385321100918,13.7188495172623,Aumento de participação igual ou superior a 10 p.p. | Mudança relevante no número de estudantes previstos
ESC_008,43177581,EMEF CHICO MENDES,eliane,5,5,0,1,5,-2.1153846153846154,17.694369973190348,14.51677497355297,Aumento de participação igual ou superior a 10 p.p. | Mudança relevante no público previsto e aumento de participação
ESC_020,43109217,EMEF JOAO ANTONIO SATTE,eliane,5,3,0,3,5,-2.8503562945368173,11.003236245954692,10.466406100273545,Aumento de participação igual ou superior a 10 p.p. | Mudança relevante no número de estudantes previstos | Mudança relevante no público previsto e aumento de participação
ESC_035,43048200,EMEF PORTO NOVO,marian,5,5,0,0,5,-3.463203463203463,14.754098360655737,14.949624366664722,Aumento de participação igual ou superior a 10 p.p.
ESC_036,43108563,EMEF PRES JOAO BELCHIOR MARQUES GOULART,marian,5,4,0,3,5,8.653846153846153,40.74074074074074,20.44474699341957,Aumento de participação igual ou superior a 10 p.p. | Mudança relevante no número de estudantes previstos | Mudança relevante no público previsto e aumento de participação
ESC_039,43172490,EMEF PROF ANISIO TEIXEIRA,andreia,5,3,0,3,5,-10.74561403508772,3.389830508474576,12.2947109789215,Aumento de participação igual ou superior a 10 p.p. | Mudança relevante no número de estudantes previstos | Mudança relevante no público previsto e aumento de participação
ESC_040,43109071,EMEF PROF GILBERTO JORGE GONCALVES DA SILVA,ruti,5,5,0,0,5,-1.8518518518518519,39.189189189189186,28.6512928022362,Aumento de participação igual ou superior a 10 p.p.
ESC_047,43189253,EMEF TIMBAUVA,nathalia,5,5,0,0,5,0.6191950464396285,28.630705394190873,20.771612288640156,Aumento de participação igual ou superior a 10 p.p.
ESC_051,43175120,EMEF VILA MONTE CRISTO,graziela,5,5,0,0,5,-1.5765765765765767,17.791411042944784,14.448430123487327,Aumento de participação igual ou superior a 10 p.p.
ESC_052,43173721,EMEF WENCESLAU FONTOURA,eliane,5,5,0,1,5,1.9189765458422174,22.535211267605632,15.311220347753164,Aumento de participação igual ou superior a 10 p.p. | Mudança relevante no público previsto e aumento de participação
ESC_054,43106668,ESC EST ENS FUN PROFESSORA LEOPOLDA BARNEWITZ,julia,5,4,0,4,5,-3.125,20,18.649193548387103,Aumento de participação igual ou superior a 10 p.p. | Mudança relevante no número de estudantes previstos | Mudança relevante no público previsto e aumento de participação
ESC_055,43105300,ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,outras,5,2,1,5,5,-9.523809523809524,-5.128205128205129,4.511278195488714,Mudança relevante no número de estudantes previstos | Mudança relevante no público previsto e aumento de participação | Mudança relevante no público previsto e queda de participação
ESC_001,43105416,EEF PEQUENA CASA DA CRIANCA,outras,5,3,0,2,4,3.875968992248062,22.164948453608247,13.239037371283118,Aumento de participação igual ou superior a 10 p.p. | Mudança relevante no número de estudantes previstos | Mudança relevante no público previsto e aumento de participação | Sem alerta principal de composição
ESC_010,43109128,EMEF DEP MARCIRIO GOULART LOUREIRO,marian,5,4,0,0,4,-6.145251396648045,14.133333333333333,15.088232685998051,Aumento de participação igual ou superior a 10 p.p. | Sem alerta principal de composição
ESC_015,43109233,EMEF GABRIEL OBINO,amanda,5,1,0,4,4,-4,0,3.2424242424242493,Mudança relevante no número de estudantes previstos | Mudança relevante no público previsto e aumento de participação | Sem alerta principal de composição
ESC_019,43172474,EMEF JEAN PIAGET,clarissa,5,3,0,3,4,2.0151133501259446,14.802631578947368,9.598532201386945,Aumento de participação igual ou superior a 10 p.p. | Mudança relevante no número de estudantes previstos | Mudança relevante no público previsto e aumento de participação | Sem alerta principal de composição
ESC_025,43109063,EMEF LEOCADIA FELIZARDO PRESTES,graziela,5,4,0,1,4,-12.837837837837839,2.3255813953488373,12.63618269432223,Aumento de participação igual ou superior a 10 p.p. | Mudança relevante no público previsto e aumento de participação | Sem alerta principal de composição
ESC_028,43177018,EMEF MIGRANTES,nathalia,5,2,1,4,4,-1.1494252873563218,-5.405405405405405,-3.662122427158522,Baixo número de avaliados em pelo menos um ano | Mudança relevante no número de estudantes previstos | Mudança relevante no público previsto e aumento de participação | Mudança relevante no público previsto e queda de participação
ESC_029,43293069,EMEF MORADAS DA HIPICA,amanda,5,2,0,2,4,0,7.389162561576355,6.276150627615053,Aumento de participação igual ou superior a 10 p.p. | Mudança relevante no número de estudantes previstos | Sem alerta principal de composição
ESC_037,43105530,EMEF PRESIDENTE VARGAS,eliane,5,4,0,0,4,-4.4534412955465585,11.41304347826087,12.370479654154934,Aumento de participação igual ou superior a 10 p.p. | Sem alerta principal de composição
ESC_048,43172482,EMEF VER ANTONIO GIUDICE,clarissa,5,3,0,3,4,4.438642297650131,16.99346405228758,9.604438642297652,Aumento de participação igual ou superior a 10 p.p. | Mudança relevante no número de estudantes previstos | Mudança relevante no público previsto e aumento de participação | Sem alerta principal de composição
ESC_049,43109080,EMEF VER CARLOS PESSOA DE BRUM,priscila,5,1,0,4,4,3.488372093023256,11.264367816091953,5.429467318675577,Mudança relevante no número de estudantes previstos | Mudança relevante no público previsto e aumento de participação | Sem alerta principal de composição
ESC_005,43105467,EMEF ARAMY SILVA,priscila,5,3,0,1,3,-6.136363636363637,5.830903790087463,9.93891701518821,Aumento de participação igual ou superior a 10 p.p. | Mudança relevante no público previsto e aumento de participação | Sem alerta principal de composição
ESC_012,43105483,EMEF DOLORES ALCARAZ CALDAS,jalize,5,2,0,1,3,7.83744557329463,20.99236641221374,9.27749464279087,Aumento de participação igual ou superior a 10 p.p. | Mudança relevante no número de estudantes previstos | Sem alerta principal de composição
ESC_017,43108571,EMEF GRANDE ORIENTE DO RGS,andreia,5,3,0,0,3,-3.024193548387097,12.941176470588236,11.285292736905646,Aumento de participação igual ou superior a 10 p.p. | Sem alerta principal de composição
