id_escola,previstos_2025_recalculado,avaliados_2025_recalculado,participacao_2025_recalculada,previstos_2026_recalculado,avaliados_2026_recalculado,participacao_2026_recalculada,previstos_total_2025,avaliados_total_2025,taxa_participacao_escola_2025,previstos_total_2026,avaliados_total_2026,taxa_participacao_escola_2026,diferenca_previstos_2025,diferenca_avaliados_2025,diferenca_participacao_2025,diferenca_previstos_2026,diferenca_avaliados_2026,diferenca_participacao_2026,divergencia
ESC_001,258,194,75.1937984496124,268,237,88.43283582089552,258,194,75.1937984496124,268,237,88.43283582089552,0,0,0,0,0,0,FALSE
ESC_002,456,363,79.60526315789474,445,384,86.29213483146067,456,363,79.60526315789474,445,384,86.29213483146067,0,0,0,0,0,0,FALSE
ESC_003,517,413,79.88394584139265,520,443,85.1923076923077,517,413,79.88394584139265,520,443,85.1923076923077,0,0,0,0,0,0,FALSE
ESC_004,263,215,81.74904942965779,229,204,89.08296943231441,263,215,81.74904942965779,229,204,89.08296943231441,0,0,0,0,0,0,FALSE
ESC_005,440,343,77.95454545454545,413,363,87.89346246973366,440,343,77.95454545454545,413,363,87.89346246973366,0,0,0,0,0,0,FALSE
ESC_006,250,220,88,230,220,95.65217391304348,250,220,88,230,220,95.65217391304348,0,0,0,0,0,0,FALSE
ESC_007,584,436,74.65753424657534,542,479,88.37638376383764,584,436,74.65753424657534,542,479,88.37638376383764,0,0,0,0,0,0,FALSE
ESC_008,520,373,71.73076923076923,509,439,86.2475442043222,520,373,71.73076923076923,509,439,86.2475442043222,0,0,0,0,0,0,FALSE
ESC_009,542,436,80.44280442804428,503,448,89.06560636182903,542,436,80.44280442804428,503,448,89.06560636182903,0,0,0,0,0,0,FALSE
ESC_010,537,375,69.83240223463687,504,428,84.92063492063492,537,375,69.83240223463687,504,428,84.92063492063492,0,0,0,0,0,0,FALSE
ESC_011,634,537,84.70031545741325,636,566,88.99371069182389,634,537,84.70031545741325,636,566,88.99371069182389,0,0,0,0,0,0,FALSE
ESC_012,689,524,76.0522496371553,743,634,85.32974427994617,689,524,76.0522496371553,743,634,85.32974427994617,0,0,0,0,0,0,FALSE
ESC_013,,,,88,74,84.0909090909091,,,,88,74,84.0909090909091,,,,0,0,0,FALSE
ESC_014,,,,139,102,73.38129496402878,,,,139,102,73.38129496402878,,,,0,0,0,FALSE
ESC_015,275,214,77.81818181818181,264,214,81.06060606060606,275,214,77.81818181818181,264,214,81.06060606060606,0,0,0,0,0,0,FALSE
ESC_016,581,456,78.48537005163512,596,493,82.71812080536913,581,456,78.48537005163512,596,493,82.71812080536913,0,0,0,0,0,0,FALSE
ESC_017,496,340,68.54838709677419,481,384,79.83367983367984,496,340,68.54838709677419,481,384,79.83367983367984,0,0,0,0,0,0,FALSE
ESC_018,485,385,79.38144329896907,461,413,89.587852494577,485,385,79.38144329896907,461,413,89.587852494577,0,0,0,0,0,0,FALSE
ESC_019,397,304,76.57430730478589,405,349,86.17283950617283,397,304,76.57430730478589,405,349,86.17283950617283,0,0,0,0,0,0,FALSE
ESC_020,421,309,73.39667458432304,409,343,83.86308068459658,421,309,73.39667458432304,409,343,83.86308068459658,0,0,0,0,0,0,FALSE
ESC_021,90,72,80,131,121,92.36641221374046,90,72,80,131,121,92.36641221374046,0,0,0,0,0,0,FALSE
ESC_022,457,304,66.52078774617068,431,320,74.24593967517401,457,304,66.52078774617068,431,320,74.24593967517401,0,0,0,0,0,0,FALSE
ESC_023,318,229,72.0125786163522,334,284,85.02994011976048,318,229,72.0125786163522,334,284,85.02994011976048,0,0,0,0,0,0,FALSE
ESC_024,374,318,85.02673796791444,367,333,90.73569482288828,374,318,85.02673796791444,367,333,90.73569482288828,0,0,0,0,0,0,FALSE
ESC_025,296,215,72.63513513513513,258,220,85.27131782945736,296,215,72.63513513513513,258,220,85.27131782945736,0,0,0,0,0,0,FALSE
ESC_026,578,442,76.47058823529412,535,390,72.89719626168224,578,442,76.47058823529412,535,390,72.89719626168224,0,0,0,0,0,0,FALSE
ESC_027,245,205,83.6734693877551,233,199,85.4077253218884,245,205,83.6734693877551,233,199,85.4077253218884,0,0,0,0,0,0,FALSE
ESC_028,87,74,85.05747126436782,86,70,81.3953488372093,87,74,85.05747126436782,86,70,81.3953488372093,0,0,0,0,0,0,FALSE
ESC_029,478,406,84.93723849372385,478,436,91.2133891213389,478,406,84.93723849372385,478,436,91.2133891213389,0,0,0,0,0,0,FALSE
ESC_030,499,397,79.55911823647294,470,368,78.29787234042553,499,397,79.55911823647294,470,368,78.29787234042553,0,0,0,0,0,0,FALSE
ESC_031,216,164,75.92592592592592,241,209,86.72199170124482,216,164,75.92592592592592,241,209,86.72199170124482,0,0,0,0,0,0,FALSE
ESC_032,387,300,77.51937984496124,372,296,79.56989247311827,387,300,77.51937984496124,372,296,79.56989247311827,0,0,0,0,0,0,FALSE
ESC_033,410,349,85.1219512195122,428,370,86.44859813084112,410,349,85.1219512195122,428,370,86.44859813084112,0,0,0,0,0,0,FALSE
ESC_034,293,219,74.74402730375427,292,238,81.5068493150685,293,219,74.74402730375427,292,238,81.5068493150685,0,0,0,0,0,0,FALSE
ESC_035,231,183,79.22077922077922,223,210,94.17040358744394,231,183,79.22077922077922,223,210,94.17040358744394,0,0,0,0,0,0,FALSE
ESC_036,312,216,69.23076923076923,339,304,89.6755162241888,312,216,69.23076923076923,339,304,89.6755162241888,0,0,0,0,0,0,FALSE
ESC_037,247,184,74.49392712550608,236,205,86.86440677966101,247,184,74.49392712550608,236,205,86.86440677966101,0,0,0,0,0,0,FALSE
ESC_038,231,194,83.98268398268398,216,202,93.51851851851852,231,194,83.98268398268398,216,202,93.51851851851852,0,0,0,0,0,0,FALSE
ESC_039,456,354,77.63157894736842,407,366,89.92628992628993,456,354,77.63157894736842,407,366,89.92628992628993,0,0,0,0,0,0,FALSE
ESC_040,108,74,68.51851851851852,106,103,97.16981132075472,108,74,68.51851851851852,106,103,97.16981132075472,0,0,0,0,0,0,FALSE
ESC_041,383,334,87.20626631853786,409,355,86.79706601466992,383,334,87.20626631853786,409,355,86.79706601466992,0,0,0,0,0,0,FALSE
ESC_042,451,361,80.04434589800444,470,396,84.25531914893617,451,361,80.04434589800444,470,396,84.25531914893617,0,0,0,0,0,0,FALSE
ESC_043,254,216,85.03937007874016,252,219,86.9047619047619,254,216,85.03937007874016,252,219,86.9047619047619,0,0,0,0,0,0,FALSE
ESC_044,482,372,77.17842323651452,449,380,84.6325167037862,482,372,77.17842323651452,449,380,84.6325167037862,0,0,0,0,0,0,FALSE
ESC_045,524,436,83.20610687022901,503,419,83.30019880715706,524,436,83.20610687022901,503,419,83.30019880715706,0,0,0,0,0,0,FALSE
ESC_046,507,373,73.57001972386588,487,397,81.51950718685832,507,373,73.57001972386588,487,397,81.51950718685832,0,0,0,0,0,0,FALSE
ESC_047,323,241,74.61300309597523,325,310,95.38461538461539,323,241,74.61300309597523,325,310,95.38461538461539,0,0,0,0,0,0,FALSE
