ordem_coluna,variavel,classe_r,valores_ausentes,valores_vazios_texto,percentual_ausente,valores_distintos
1,id_escola,character,0,0,0,56
2,codigo_inep,character,0,0,0,56
3,nome_canonico,character,0,0,0,56
4,nome_inep,character,0,0,0,56
5,assessora_gerencial,character,0,0,0,13
6,assessora,character,1,0,1.7857142857142858,12
7,grupo_administrativo_2024_final,character,0,0,0,5
8,tipo_vinculo_rede_final,character,0,0,0,5
9,status_rede_2025_final,character,0,0,0,3
10,dependencia_administrativa_2024,character,0,0,0,3
11,situacao_funcionamento_2024,character,0,0,0,1
12,municipalizada_apos_2024,logical,0,0,0,2
13,possivel_municipalizacao_recente,logical,0,0,0,2
14,escola_nova_recente,character,0,0,0,2
15,privada_vinculada_final,logical,0,0,0,2
16,caso_historico_administrativo,character,0,0,0,5
17,observacao_administrativa_final,character,0,0,0,7
18,requer_revisao_tecnica,logical,0,0,0,2
19,divergencia_censo_cadastro,logical,0,0,0,2
20,contexto_2024_encontrado,logical,0,0,0,1
21,estratos_corrigidos_disponiveis,logical,0,0,0,2
22,incluir_universo_municipal_direto_2024,logical,0,0,0,2
23,incluir_universo_municipal_ampliado_2024,logical,0,0,0,2
24,incluir_rede_municipal_operacional_2025,logical,0,0,0,2
25,quantidade_matricula_educacao_basica,numeric,0,0,0,55
26,matriculas_anos_iniciais,numeric,0,0,0,51
27,turmas_anos_iniciais,numeric,0,0,0,20
28,docentes_anos_iniciais,numeric,0,0,0,26
29,alunos_por_turma_anos_iniciais,numeric,1,0,1.7857142857142858,50
30,alunos_por_docente_anos_iniciais,numeric,1,0,1.7857142857142858,55
31,porte_anos_iniciais,character,0,0,0,4
32,quartil_porte_anos_iniciais,numeric,0,0,0,4
33,faixa_porte_contextual_escola,character,2,0,3.5714285714285716,4
34,numero_etapas_amplas_ofertadas,numeric,0,0,0,4
35,oferta_educacao_infantil,logical,0,0,0,2
36,oferta_anos_finais,logical,0,0,0,2
37,oferta_eja,logical,0,0,0,2
38,oferta_educacao_especial,logical,0,0,0,2
39,pct_matriculas_anos_iniciais_integral,numeric,0,0,0,38
40,pct_matriculas_educacao_especial,numeric,0,0,0,56
41,pct_matriculas_transporte_publico,numeric,0,0,0,42
42,pct_matriculas_preta_parda_indigena,numeric,0,0,0,56
43,indice_infraestrutura_basica,numeric,0,0,0,5
44,quartil_infraestrutura_escola,character,2,0,3.5714285714285716,3
45,numero_itens_infraestrutura_presentes,numeric,0,0,0,5
46,quantidade_sala_utilizada,numeric,0,0,0,24
47,quantidade_sala_utilizada_climatizada,numeric,0,0,0,9
48,quantidade_sala_utilizada_acessivel,numeric,0,0,0,14
49,possui_espaco_leitura,logical,0,0,0,2
50,possui_recurso_acessibilidade,logical,0,0,0,2
51,laboratorio_ciencias,numeric,0,0,0,2
52,laboratorio_informatica,numeric,0,0,0,2
53,quadra_esportes,numeric,0,0,0,2
54,internet_aprendizagem,numeric,0,0,0,2
55,internet_alunos,numeric,0,0,0,2
56,sala_atendimento_especial,numeric,0,0,0,2
57,quantidade_computador_portatil_aluno,numeric,0,0,0,45
58,quantidade_tablet_aluno,numeric,0,0,0,9
59,quantidade_profissional_coordenador,numeric,0,0,0,6
60,quantidade_profissional_psicologo,numeric,0,0,0,3
61,quantidade_profissional_assistente_social,numeric,0,0,0,5
62,quantidade_profissional_monitor,numeric,0,0,0,3
63,quantidade_profissional_pedagogia,numeric,0,0,0,12
64,numero_series_esperadas,integer,0,0,0,1
65,numero_series_presentes_2025,integer,0,0,0,3
66,numero_series_presentes_2026,integer,0,0,0,2
67,numero_series_resultado_2025,integer,0,0,0,3
68,numero_series_resultado_2026,integer,0,0,0,2
69,numero_series_comparaveis,integer,0,0,0,4
70,proporcao_series_comparaveis,numeric,0,0,0,4
71,painel_completo_cinco_series,logical,0,0,0,2
72,previstos_total_2025,numeric,2,0,3.5714285714285716,51
73,avaliados_total_2025,numeric,2,0,3.5714285714285716,46
74,taxa_participacao_escola_2025,numeric,2,0,3.5714285714285716,54
75,faixa_participacao_escola_2025,character,2,0,3.5714285714285716,4
76,proficiencia_multisserie_ponderada_2025,numeric,2,0,3.5714285714285716,54
77,pct_defasagem_multisserie_ponderado_2025,numeric,2,0,3.5714285714285716,54
78,pct_intermediario_multisserie_ponderado_2025,numeric,2,0,3.5714285714285716,54
79,pct_adequado_multisserie_ponderado_2025,numeric,2,0,3.5714285714285716,54
80,previstos_total_2026,numeric,0,0,0,52
81,avaliados_total_2026,numeric,0,0,0,53
82,taxa_participacao_escola_2026,numeric,0,0,0,56
83,faixa_participacao_escola_2026,character,0,0,0,4
84,proficiencia_multisserie_ponderada_2026,numeric,0,0,0,56
85,pct_defasagem_multisserie_ponderado_2026,numeric,0,0,0,56
86,pct_intermediario_multisserie_ponderado_2026,numeric,0,0,0,56
87,pct_adequado_multisserie_ponderado_2026,numeric,0,0,0,55
88,delta_participacao_escola,numeric,2,0,3.5714285714285716,54
89,direcao_delta_participacao_escola,character,0,0,0,3
90,delta_proficiencia_multisserie_ponderada,numeric,2,0,3.5714285714285716,54
91,direcao_delta_proficiencia_multisserie,character,0,0,0,3
92,delta_pct_defasagem_multisserie_ponderado,numeric,2,0,3.5714285714285716,54
93,delta_pct_intermediario_multisserie_ponderado,numeric,2,0,3.5714285714285716,54
94,delta_pct_adequado_multisserie_ponderado,numeric,2,0,3.5714285714285716,54
95,variacao_relativa_previstos_escola,numeric,2,0,3.5714285714285716,54
96,variacao_relativa_avaliados_escola,numeric,2,0,3.5714285714285716,53
