id_escola,numero_series,series,numero_linhas
ESC_001,5,1 | 2 | 3 | 4 | 5,5
ESC_002,5,1 | 2 | 3 | 4 | 5,5
ESC_003,5,1 | 2 | 3 | 4 | 5,5
ESC_004,5,1 | 2 | 3 | 4 | 5,5
ESC_005,5,1 | 2 | 3 | 4 | 5,5
ESC_006,5,1 | 2 | 3 | 4 | 5,5
ESC_007,5,1 | 2 | 3 | 4 | 5,5
ESC_008,5,1 | 2 | 3 | 4 | 5,5
ESC_009,5,1 | 2 | 3 | 4 | 5,5
ESC_010,5,1 | 2 | 3 | 4 | 5,5
ESC_011,5,1 | 2 | 3 | 4 | 5,5
ESC_012,5,1 | 2 | 3 | 4 | 5,5
ESC_013,5,1 | 2 | 3 | 4 | 5,5
ESC_014,5,1 | 2 | 3 | 4 | 5,5
ESC_015,5,1 | 2 | 3 | 4 | 5,5
ESC_016,5,1 | 2 | 3 | 4 | 5,5
ESC_017,5,1 | 2 | 3 | 4 | 5,5
ESC_018,5,1 | 2 | 3 | 4 | 5,5
ESC_019,5,1 | 2 | 3 | 4 | 5,5
ESC_020,5,1 | 2 | 3 | 4 | 5,5
ESC_021,5,1 | 2 | 3 | 4 | 5,5
ESC_022,5,1 | 2 | 3 | 4 | 5,5
ESC_023,5,1 | 2 | 3 | 4 | 5,5
ESC_024,5,1 | 2 | 3 | 4 | 5,5
ESC_025,5,1 | 2 | 3 | 4 | 5,5
ESC_026,5,1 | 2 | 3 | 4 | 5,5
ESC_027,5,1 | 2 | 3 | 4 | 5,5
ESC_028,5,1 | 2 | 3 | 4 | 5,5
ESC_029,5,1 | 2 | 3 | 4 | 5,5
ESC_030,5,1 | 2 | 3 | 4 | 5,5
ESC_031,5,1 | 2 | 3 | 4 | 5,5
ESC_032,5,1 | 2 | 3 | 4 | 5,5
ESC_033,5,1 | 2 | 3 | 4 | 5,5
ESC_034,5,1 | 2 | 3 | 4 | 5,5
ESC_035,5,1 | 2 | 3 | 4 | 5,5
ESC_036,5,1 | 2 | 3 | 4 | 5,5
ESC_037,5,1 | 2 | 3 | 4 | 5,5
ESC_038,5,1 | 2 | 3 | 4 | 5,5
ESC_039,5,1 | 2 | 3 | 4 | 5,5
ESC_040,5,1 | 2 | 3 | 4 | 5,5
ESC_041,5,1 | 2 | 3 | 4 | 5,5
ESC_042,5,1 | 2 | 3 | 4 | 5,5
ESC_043,5,1 | 2 | 3 | 4 | 5,5
ESC_044,5,1 | 2 | 3 | 4 | 5,5
ESC_045,5,1 | 2 | 3 | 4 | 5,5
ESC_046,5,1 | 2 | 3 | 4 | 5,5
ESC_047,5,1 | 2 | 3 | 4 | 5,5
ESC_048,5,1 | 2 | 3 | 4 | 5,5
ESC_049,5,1 | 2 | 3 | 4 | 5,5
ESC_050,5,1 | 2 | 3 | 4 | 5,5
ESC_051,5,1 | 2 | 3 | 4 | 5,5
ESC_052,5,1 | 2 | 3 | 4 | 5,5
ESC_053,5,1 | 2 | 3 | 4 | 5,5
ESC_054,5,1 | 2 | 3 | 4 | 5,5
ESC_055,5,1 | 2 | 3 | 4 | 5,5
ESC_056,5,1 | 2 | 3 | 4 | 5,5
