variavel,classe_r,valores_ausentes,valores_vazios_texto,percentual_ausente,valores_distintos
id_escola,character,0,0,0,56
codigo_inep,character,0,0,0,56
nome_canonico,character,0,0,0,56
nome_inep,character,0,0,0,56
assessora_vinculo_administrativo,character,0,0,0,13
grupo_administrativo_2024_final,character,0,0,0,5
tipo_vinculo_rede_final,character,0,0,0,5
status_rede_2025_final,character,0,0,0,3
dependencia_administrativa_2024,character,0,0,0,3
situacao_funcionamento_2024,character,0,0,0,1
municipalizada_apos_2024,logical,0,0,0,2
possivel_municipalizacao_recente,logical,0,0,0,2
escola_nova_recente,character,0,0,0,2
privada_vinculada_final,logical,0,0,0,2
caso_historico_administrativo,character,0,0,0,5
observacao_administrativa_final,character,0,0,0,7
requer_revisao_tecnica,logical,0,0,0,2
divergencia_censo_cadastro,logical,0,0,0,2
contexto_2024_encontrado,logical,0,0,0,1
estratos_corrigidos_disponiveis,logical,0,0,0,2
incluir_universo_municipal_direto_2024,logical,0,0,0,2
incluir_universo_municipal_ampliado_2024,logical,0,0,0,2
incluir_rede_municipal_operacional_2025,logical,0,0,0,2
quantidade_matricula_educacao_basica,numeric,0,0,0,55
matriculas_anos_iniciais,numeric,0,0,0,51
turmas_anos_iniciais,numeric,0,0,0,20
docentes_anos_iniciais,numeric,0,0,0,26
alunos_por_turma_anos_iniciais,numeric,1,0,1.7857142857142858,50
alunos_por_docente_anos_iniciais,numeric,1,0,1.7857142857142858,55
porte_anos_iniciais,character,0,0,0,4
quartil_porte_anos_iniciais,numeric,0,0,0,4
faixa_porte_contextual_escola,character,2,0,3.5714285714285716,4
numero_etapas_amplas_ofertadas,numeric,0,0,0,4
oferta_educacao_infantil,logical,0,0,0,2
oferta_anos_finais,logical,0,0,0,2
oferta_eja,logical,0,0,0,2
oferta_educacao_especial,logical,0,0,0,2
pct_matriculas_anos_iniciais_integral,numeric,0,0,0,38
pct_matriculas_educacao_especial,numeric,0,0,0,56
pct_matriculas_transporte_publico,numeric,0,0,0,42
pct_matriculas_preta_parda_indigena,numeric,0,0,0,56
indice_infraestrutura_basica,numeric,0,0,0,5
quartil_infraestrutura_escola,character,2,0,3.5714285714285716,3
numero_itens_infraestrutura_presentes,numeric,0,0,0,5
quantidade_sala_utilizada,numeric,0,0,0,24
quantidade_sala_utilizada_climatizada,numeric,0,0,0,9
quantidade_sala_utilizada_acessivel,numeric,0,0,0,14
possui_espaco_leitura,logical,0,0,0,2
possui_recurso_acessibilidade,logical,0,0,0,2
laboratorio_ciencias,numeric,0,0,0,2
laboratorio_informatica,numeric,0,0,0,2
quadra_esportes,numeric,0,0,0,2
internet_aprendizagem,numeric,0,0,0,2
internet_alunos,numeric,0,0,0,2
sala_atendimento_especial,numeric,0,0,0,2
quantidade_computador_portatil_aluno,numeric,0,0,0,45
quantidade_tablet_aluno,numeric,0,0,0,9
quantidade_profissional_coordenador,numeric,0,0,0,6
quantidade_profissional_psicologo,numeric,0,0,0,3
quantidade_profissional_assistente_social,numeric,0,0,0,5
quantidade_profissional_monitor,numeric,0,0,0,3
quantidade_profissional_pedagogia,numeric,0,0,0,12
pertence_universo_avaliativo_2025,character,0,0,0,2
pertence_universo_avaliativo_2026,character,0,0,0,1
elegivel_assessoramento_2025,character,0,0,0,1
elegivel_assessoramento_2026,character,0,0,0,2
recebe_assessoramento_2025,character,0,0,0,1
recebe_assessoramento_2026,character,0,0,0,2
exposicao_programa_binaria_2025,integer,0,0,0,1
exposicao_programa_binaria_2026,integer,0,0,0,2
assessora_gerencial_2025,character,56,0,100,0
assessora_gerencial_2026,character,3,0,5.357142857142857,11
status_carga_operacional_2025,character,0,0,0,1
status_carga_operacional_2026,character,0,0,0,2
grupo_exposicao_2025,character,0,0,0,1
grupo_exposicao_2026,character,0,0,0,2
incluir_diagnostico_avaliativo_ampliado_2025,logical,0,0,0,2
incluir_diagnostico_avaliativo_ampliado_2026,logical,0,0,0,1
incluir_resultados_rede_assessorada_2025,logical,0,0,0,1
incluir_resultados_rede_assessorada_2026,logical,0,0,0,2
incluir_indice_carga_2025,logical,0,0,0,1
incluir_indice_carga_2026,logical,0,0,0,2
incluir_nao_exposto_descritivo_2025,logical,0,0,0,1
incluir_nao_exposto_descritivo_2026,logical,0,0,0,2
status_homologacao_2025,character,0,0,0,1
status_homologacao_2026,character,0,0,0,1
versao_regra_2025,character,0,0,0,1
