item,caminho,existe,tamanho_bytes
modulo_15,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/documentacao/base_final/execucao_20260726_182530/18_manifesto_produtos_modulo_15.csv,TRUE,1001
modulo_16,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/documentacao/perfil_escola/execucao_20260726_223447/19_manifesto_produtos_modulo_16.csv,TRUE,1407
modulo_17,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/documentacao/indice_complexidade/execucao_20260728_220908/19_manifesto_produtos_modulo_17.csv,TRUE,1498
modulo_18,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/documentacao/analise_carteiras/execucao_20260729_221336/18_manifesto_produtos_modulo_18.csv,TRUE,2086
modulo_19,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/documentacao/fichas_escolas/execucao_20260729_233939/16_manifesto_produtos_modulo_19.csv,TRUE,879
modulo_20,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/documentacao/fichas_carteiras/execucao_20260730_212403/15_manifesto_produtos_modulo_20.csv,TRUE,887
base_final_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/base_analitica_final_escola_serie.csv,TRUE,629573
base_final_rds,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/base_analitica_final_escola_serie.rds,TRUE,54652
dim_final_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/dim_escola_final.csv,TRUE,103886
dim_final_rds,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/dim_escola_final.rds,TRUE,15706
perfil_completo_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/perfil_escola_completo.csv,TRUE,151420
perfil_completo_rds,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/perfil_escola_completo.rds,TRUE,30077
perfil_gerencial_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/perfil_escola_gerencial.csv,TRUE,96095
perfil_gerencial_rds,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/perfil_escola_gerencial.rds,TRUE,22605
perfil_serie_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/perfil_escola_serie_compacto.csv,TRUE,247852
perfil_serie_rds,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/perfil_escola_serie_compacto.rds,TRUE,33017
indice_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/indice_carga_potencial_escola.csv,TRUE,16326
indice_rds,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/indice_carga_potencial_escola.rds,TRUE,3404
componentes_indice_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/componentes_indice_carga_potencial.csv,TRUE,99767
componentes_indice_rds,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/componentes_indice_carga_potencial.rds,TRUE,6296
