relativo,caminho_candidato,tamanho_candidato,hash_candidato,caminho_promovido,tamanho_promovido,hash_promovido,existe_candidato,existe_promovido,tamanho_identico,hash_identico
anexos/tabelas/A01_universo_institucional_escolas.csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/transacoes/execucao_20260731_001044/candidatos/anexos/tabelas/A01_universo_institucional_escolas.csv,10419,cc0167d3215d3f80c4686cf81fd7b8db,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/anexos/tabelas/A01_universo_institucional_escolas.csv,10419,cc0167d3215d3f80c4686cf81fd7b8db,TRUE,TRUE,TRUE,TRUE
anexos/tabelas/A02_universo_operacional_2026.csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/transacoes/execucao_20260731_001044/candidatos/anexos/tabelas/A02_universo_operacional_2026.csv,8512,37f84b63f9fa0ae06c5baae323f25fb7,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/anexos/tabelas/A02_universo_operacional_2026.csv,8512,37f84b63f9fa0ae06c5baae323f25fb7,TRUE,TRUE,TRUE,TRUE
anexos/tabelas/A03_resultados_escola_ano_escolar.csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/transacoes/execucao_20260731_001044/candidatos/anexos/tabelas/A03_resultados_escola_ano_escolar.csv,91656,318be287084084eef5abd6b9bc9b9a93,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/anexos/tabelas/A03_resultados_escola_ano_escolar.csv,91656,318be287084084eef5abd6b9bc9b9a93,TRUE,TRUE,TRUE,TRUE
anexos/tabelas/A04_indice_operacional_escolas.csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/transacoes/execucao_20260731_001044/candidatos/anexos/tabelas/A04_indice_operacional_escolas.csv,15191,fe6b0f8ef4306aeff64604ad7c70aaf6,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/anexos/tabelas/A04_indice_operacional_escolas.csv,15191,fe6b0f8ef4306aeff64604ad7c70aaf6,TRUE,TRUE,TRUE,TRUE
anexos/tabelas/A05_componentes_indice_operacional.csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/transacoes/execucao_20260731_001044/candidatos/anexos/tabelas/A05_componentes_indice_operacional.csv,99767,7a853ba2c301265c6c308dabe72a2eea,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/anexos/tabelas/A05_componentes_indice_operacional.csv,99767,7a853ba2c301265c6c308dabe72a2eea,TRUE,TRUE,TRUE,TRUE
anexos/tabelas/A06_composicao_carteiras.csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/transacoes/execucao_20260731_001044/candidatos/anexos/tabelas/A06_composicao_carteiras.csv,19967,c08b4ba1c017c56b61d86478d76b7932,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/anexos/tabelas/A06_composicao_carteiras.csv,19967,c08b4ba1c017c56b61d86478d76b7932,TRUE,TRUE,TRUE,TRUE
anexos/tabelas/A07_diagnostico_educacional_carteiras.csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/transacoes/execucao_20260731_001044/candidatos/anexos/tabelas/A07_diagnostico_educacional_carteiras.csv,6653,8526e7bb50d2a85ac34e60197ec94595,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/anexos/tabelas/A07_diagnostico_educacional_carteiras.csv,6653,8526e7bb50d2a85ac34e60197ec94595,TRUE,TRUE,TRUE,TRUE
anexos/tabelas/A08_escolas_institucionais_nao_operacionais.csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/transacoes/execucao_20260731_001044/candidatos/anexos/tabelas/A08_escolas_institucionais_nao_operacionais.csv,1251,c4a82a726922395e0492656becc38a73,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/anexos/tabelas/A08_escolas_institucionais_nao_operacionais.csv,1251,c4a82a726922395e0492656becc38a73,TRUE,TRUE,TRUE,TRUE
catalogo_produtos_relatorio.csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/transacoes/execucao_20260731_001044/candidatos/catalogo_produtos_relatorio.csv,5239,e0300a67c0d0064aa20ddad4b5064e4f,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/catalogo_produtos_relatorio.csv,5239,e0300a67c0d0064aa20ddad4b5064e4f,TRUE,TRUE,TRUE,TRUE
corpo/graficos/G01_universos_estudo.png,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/transacoes/execucao_20260731_001044/candidatos/corpo/graficos/G01_universos_estudo.png,103099,715b9ca8579811227bd4fd7ce4b943e8,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/corpo/graficos/G01_universos_estudo.png,103099,715b9ca8579811227bd4fd7ce4b943e8,TRUE,TRUE,TRUE,TRUE
corpo/graficos/G02_composicao_institucional_rede.png,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/transacoes/execucao_20260731_001044/candidatos/corpo/graficos/G02_composicao_institucional_rede.png,116336,5f7d36856d720bbbf8a84877446bfd54,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/corpo/graficos/G02_composicao_institucional_rede.png,116336,5f7d36856d720bbbf8a84877446bfd54,TRUE,TRUE,TRUE,TRUE
corpo/graficos/G03_participacao_por_ano_escolar.png,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/transacoes/execucao_20260731_001044/candidatos/corpo/graficos/G03_participacao_por_ano_escolar.png,97950,1ffa601c3d080fe40320e0b5f8f3575d,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/corpo/graficos/G03_participacao_por_ano_escolar.png,97950,1ffa601c3d080fe40320e0b5f8f3575d,TRUE,TRUE,TRUE,TRUE
corpo/graficos/G04_participacao_proficiencia_observada.png,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/transacoes/execucao_20260731_001044/candidatos/corpo/graficos/G04_participacao_proficiencia_observada.png,116171,bca8807a76e2f9f9927b848020d6adf4,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/corpo/graficos/G04_participacao_proficiencia_observada.png,116171,bca8807a76e2f9f9927b848020d6adf4,TRUE,TRUE,TRUE,TRUE
corpo/graficos/G05_extensao_intensidade_carteiras.png,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/transacoes/execucao_20260731_001044/candidatos/corpo/graficos/G05_extensao_intensidade_carteiras.png,180913,259d5ee415f12c3f2dae0d1778e8aedd,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/corpo/graficos/G05_extensao_intensidade_carteiras.png,180913,259d5ee415f12c3f2dae0d1778e8aedd,TRUE,TRUE,TRUE,TRUE
corpo/graficos/G06_dimensoes_operacionais_carteiras.png,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/transacoes/execucao_20260731_001044/candidatos/corpo/graficos/G06_dimensoes_operacionais_carteiras.png,236291,dd54e175649b07a7e1bb3ff0ab0ab332,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/corpo/graficos/G06_dimensoes_operacionais_carteiras.png,236291,dd54e175649b07a7e1bb3ff0ab0ab332,TRUE,TRUE,TRUE,TRUE
