id_produto,caminho,tamanho_bytes,hash_md5,criterio_homologacao
A01,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/anexos/tabelas/A01_universo_institucional_escolas.csv,10419,cc0167d3215d3f80c4686cf81fd7b8db,"Conferir seleção explícita de campos, universo e ausência de colunas proibidas."
A02,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/anexos/tabelas/A02_universo_operacional_2026.csv,8512,37f84b63f9fa0ae06c5baae323f25fb7,"Conferir seleção explícita de campos, universo e ausência de colunas proibidas."
A03,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/anexos/tabelas/A03_resultados_escola_ano_escolar.csv,91656,318be287084084eef5abd6b9bc9b9a93,"Conferir seleção explícita de campos, universo e ausência de colunas proibidas."
A04,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/anexos/tabelas/A04_indice_operacional_escolas.csv,15191,fe6b0f8ef4306aeff64604ad7c70aaf6,"Conferir seleção explícita de campos, universo e ausência de colunas proibidas."
A05,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/anexos/tabelas/A05_componentes_indice_operacional.csv,99767,7a853ba2c301265c6c308dabe72a2eea,"Conferir seleção explícita de campos, universo e ausência de colunas proibidas."
A06,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/anexos/tabelas/A06_composicao_carteiras.csv,19967,c08b4ba1c017c56b61d86478d76b7932,"Conferir seleção explícita de campos, universo e ausência de colunas proibidas."
A07,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/anexos/tabelas/A07_diagnostico_educacional_carteiras.csv,6653,8526e7bb50d2a85ac34e60197ec94595,"Conferir seleção explícita de campos, universo e ausência de colunas proibidas."
A08,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/anexos/tabelas/A08_escolas_institucionais_nao_operacionais.csv,1251,c4a82a726922395e0492656becc38a73,"Conferir seleção explícita de campos, universo e ausência de colunas proibidas."
CATALOGO,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/catalogo_produtos_relatorio.csv,5239,e0300a67c0d0064aa20ddad4b5064e4f,Conferir arquitetura editorial e metadados.
G01,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/corpo/graficos/G01_universos_estudo.png,103099,715b9ca8579811227bd4fd7ce4b943e8,"Conferir legibilidade, escalas, títulos, notas, ausência de ordenação valorativa e adequação institucional."
G02,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/corpo/graficos/G02_composicao_institucional_rede.png,116336,5f7d36856d720bbbf8a84877446bfd54,"Conferir legibilidade, escalas, títulos, notas, ausência de ordenação valorativa e adequação institucional."
G03,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/corpo/graficos/G03_participacao_por_ano_escolar.png,97950,1ffa601c3d080fe40320e0b5f8f3575d,"Conferir legibilidade, escalas, títulos, notas, ausência de ordenação valorativa e adequação institucional."
G04,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/corpo/graficos/G04_participacao_proficiencia_observada.png,116171,bca8807a76e2f9f9927b848020d6adf4,"Conferir legibilidade, escalas, títulos, notas, ausência de ordenação valorativa e adequação institucional."
G05,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/corpo/graficos/G05_extensao_intensidade_carteiras.png,180913,259d5ee415f12c3f2dae0d1778e8aedd,"Conferir legibilidade, escalas, títulos, notas, ausência de ordenação valorativa e adequação institucional."
G06,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/corpo/graficos/G06_dimensoes_operacionais_carteiras.png,236291,dd54e175649b07a7e1bb3ff0ab0ab332,"Conferir legibilidade, escalas, títulos, notas, ausência de ordenação valorativa e adequação institucional."
T01,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/corpo/tabelas/T01_universos_cobertura_estudo.csv,600,509ff1bd5ea0718ad32f3ae77e635e09,"Conferir indicadores, universo, rótulos, arredondamentos e cautelas."
T02,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/corpo/tabelas/T02_perfil_estrutural_universo_institucional.csv,1022,2e3125073f5a5e86c57a39475846360f,"Conferir indicadores, universo, rótulos, arredondamentos e cautelas."
T03,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/corpo/tabelas/T03_participacao_composicao_resultados_por_ano.csv,1433,ec4a37c8f360ccb74801e5607528b7a1,"Conferir indicadores, universo, rótulos, arredondamentos e cautelas."
T04,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/corpo/tabelas/T04_sintese_nao_ordinal_carteiras_operacionais.csv,2752,f171c224d0b7fabe0617374d4994fe6e,"Conferir indicadores, universo, rótulos, arredondamentos e cautelas."
T05,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/corpo/tabelas/T05_dimensoes_operacionais_carteiras.csv,926,1180c454cf2d92d2658572193e6f5fb3,"Conferir indicadores, universo, rótulos, arredondamentos e cautelas."
T06,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/corpo/tabelas/T06_cautelas_metodologicas.csv,940,fa5421007a31a68989f84ea785f30e9d,"Conferir indicadores, universo, rótulos, arredondamentos e cautelas."
