teste,categoria,criticidade,aprovado,observado,esperado,detalhe,status
ambiente_r_compativel_modulo_21,ambiente,advertencia,TRUE,R version 4.4.2 (2024-10-31 ucrt),R version 4.4.2,,APROVADO
quarto_disponivel_path,ambiente,advertencia,TRUE,C:\PROGRA~1\RStudio\resources\app\bin\quarto\bin\quarto.exe,registro informativo; não bloqueante,,APROVADO
unicidade_base_escola_ano,chaves_duplicidades,bloqueante,TRUE,0,0 duplicidades,,APROVADO
unicidade_detalhe_carteira,chaves_duplicidades,bloqueante,TRUE,0,0 duplicidades,,APROVADO
unicidade_dim_escola,chaves_duplicidades,bloqueante,TRUE,0,0 duplicidades,,APROVADO
unicidade_indice,chaves_duplicidades,bloqueante,TRUE,0,0 duplicidades,,APROVADO
unicidade_perfil_completo,chaves_duplicidades,bloqueante,TRUE,0,0 duplicidades,,APROVADO
unicidade_perfil_gerencial,chaves_duplicidades,bloqueante,TRUE,0,0 duplicidades,,APROVADO
base_cobre_dimensao_institucional,coerencia_cruzada,bloqueante,TRUE,56,56,,APROVADO
carteiras_analise_iguais_indice,coerencia_cruzada,bloqueante,TRUE,analise=11; indice=11,conjuntos idênticos,,APROVADO
detalhe_carteiras_equivale_indice,coerencia_cruzada,bloqueante,TRUE,detalhe=53; indice=53,conjuntos idênticos,,APROVADO
indice_equivale_universo_operacional,coerencia_cruzada,bloqueante,TRUE,indice=53; operacional=53,conjuntos idênticos,,APROVADO
nao_operacionais_fora_indice,coerencia_cruzada,bloqueante,TRUE,,nenhum ID não operacional,"IDs bloqueados: ESC_001, ESC_055, ESC_056",APROVADO
branch_git,contrato_execucao,bloqueante,TRUE,refatoracao_modulo_21,refatoracao_modulo_21,,APROVADO
commit_git,contrato_execucao,bloqueante,TRUE,95f77d4dd02bc77c8ae0b843eb3fb512c57df4b5,95f77d4dd02bc77c8ae0b843eb3fb512c57df4b5,,APROVADO
repositorio_sem_alteracoes_inesperadas,contrato_execucao,bloqueante,TRUE,"?? R/23_validacao_integrada_final.R
?? documentacao/validacao_integrada/",sem alterações inesperadas; admitem-se apenas o script novo e a pasta de auditoria,,APROVADO
script_canonico_existe,contrato_execucao,bloqueante,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/R/23_validacao_integrada_final.R,arquivo existente,,APROVADO
sincronia_local_remota,contrato_execucao,bloqueante,TRUE,0	0,0 0,,APROVADO
equivalencia_analise_carteiras,equivalencia_csv_rds,bloqueante,TRUE,csv=11x30; rds=11x30,"mesmas colunas, dimensões e valores após normalização de tipos",colunas=TRUE; dimensoes=TRUE; divergentes=nenhuma,APROVADO
equivalencia_base_final,equivalencia_csv_rds,bloqueante,TRUE,csv=280x267; rds=280x267,"mesmas colunas, dimensões e valores após normalização de tipos",colunas=TRUE; dimensoes=TRUE; divergentes=nenhuma,APROVADO
equivalencia_componentes_educacionais,equivalencia_csv_rds,bloqueante,TRUE,csv=265x27; rds=265x27,"mesmas colunas, dimensões e valores após normalização de tipos",colunas=TRUE; dimensoes=TRUE; divergentes=nenhuma,APROVADO
equivalencia_componentes_indice,equivalencia_csv_rds,bloqueante,TRUE,csv=636x12; rds=636x12,"mesmas colunas, dimensões e valores após normalização de tipos",colunas=TRUE; dimensoes=TRUE; divergentes=nenhuma,APROVADO
equivalencia_composicao_carteiras,equivalencia_csv_rds,bloqueante,TRUE,csv=99x9; rds=99x9,"mesmas colunas, dimensões e valores após normalização de tipos",colunas=TRUE; dimensoes=TRUE; divergentes=nenhuma,APROVADO
equivalencia_detalhe_carteiras,equivalencia_csv_rds,bloqueante,TRUE,csv=53x29; rds=53x29,"mesmas colunas, dimensões e valores após normalização de tipos",colunas=TRUE; dimensoes=TRUE; divergentes=nenhuma,APROVADO
equivalencia_diagnostico_carteiras,equivalencia_csv_rds,bloqueante,TRUE,csv=11x25; rds=11x25,"mesmas colunas, dimensões e valores após normalização de tipos",colunas=TRUE; dimensoes=TRUE; divergentes=nenhuma,APROVADO
equivalencia_dim_final,equivalencia_csv_rds,bloqueante,TRUE,csv=56x218; rds=56x218,"mesmas colunas, dimensões e valores após normalização de tipos",colunas=TRUE; dimensoes=TRUE; divergentes=nenhuma,APROVADO
equivalencia_indice,equivalencia_csv_rds,bloqueante,TRUE,csv=53x24; rds=53x24,"mesmas colunas, dimensões e valores após normalização de tipos",colunas=TRUE; dimensoes=TRUE; divergentes=nenhuma,APROVADO
equivalencia_indice_fichas_carteiras,equivalencia_csv_rds,bloqueante,TRUE,csv=11x13; rds=11x13,"mesmas colunas, dimensões e valores após normalização de tipos",colunas=TRUE; dimensoes=TRUE; divergentes=nenhuma,APROVADO
equivalencia_perfil_completo,equivalencia_csv_rds,bloqueante,TRUE,csv=56x283; rds=56x283,"mesmas colunas, dimensões e valores após normalização de tipos",colunas=TRUE; dimensoes=TRUE; divergentes=nenhuma,APROVADO
equivalencia_perfil_gerencial,equivalencia_csv_rds,bloqueante,TRUE,csv=56x153; rds=56x153,"mesmas colunas, dimensões e valores após normalização de tipos",colunas=TRUE; dimensoes=TRUE; divergentes=nenhuma,APROVADO
equivalencia_perfil_serie,equivalencia_csv_rds,bloqueante,TRUE,csv=280x69; rds=280x69,"mesmas colunas, dimensões e valores após normalização de tipos",colunas=TRUE; dimensoes=TRUE; divergentes=nenhuma,APROVADO
equivalencia_universo_carteiras,equivalencia_csv_rds,bloqueante,TRUE,csv=56x13; rds=56x13,"mesmas colunas, dimensões e valores após normalização de tipos",colunas=TRUE; dimensoes=TRUE; divergentes=nenhuma,APROVADO
existencia_analise_carteiras_csv,existencia_entradas,bloqueante,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/analise_carteiras_assessoras.csv,arquivo existente,tamanho_bytes=6717,APROVADO
existencia_analise_carteiras_rds,existencia_entradas,bloqueante,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/analise_carteiras_assessoras.rds,arquivo existente,tamanho_bytes=2051,APROVADO
existencia_base_final_csv,existencia_entradas,bloqueante,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/base_analitica_final_escola_serie.csv,arquivo existente,tamanho_bytes=629573,APROVADO
existencia_base_final_rds,existencia_entradas,bloqueante,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/base_analitica_final_escola_serie.rds,arquivo existente,tamanho_bytes=54652,APROVADO
existencia_componentes_educacionais_csv,existencia_entradas,bloqueante,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/componentes_educacionais_escola_serie.csv,arquivo existente,tamanho_bytes=100732,APROVADO
existencia_componentes_educacionais_rds,existencia_entradas,bloqueante,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/componentes_educacionais_escola_serie.rds,arquivo existente,tamanho_bytes=17332,APROVADO
existencia_componentes_indice_csv,existencia_entradas,bloqueante,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/componentes_indice_carga_potencial.csv,arquivo existente,tamanho_bytes=99767,APROVADO
existencia_componentes_indice_rds,existencia_entradas,bloqueante,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/componentes_indice_carga_potencial.rds,arquivo existente,tamanho_bytes=6296,APROVADO
existencia_composicao_carteiras_csv,existencia_entradas,bloqueante,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/composicao_operacional_carteiras.csv,arquivo existente,tamanho_bytes=19967,APROVADO
existencia_composicao_carteiras_rds,existencia_entradas,bloqueante,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/composicao_operacional_carteiras.rds,arquivo existente,tamanho_bytes=1318,APROVADO
existencia_detalhe_carteiras_csv,existencia_entradas,bloqueante,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/carteira_escola_detalhe.csv,arquivo existente,tamanho_bytes=24570,APROVADO
existencia_detalhe_carteiras_rds,existencia_entradas,bloqueante,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/carteira_escola_detalhe.rds,arquivo existente,tamanho_bytes=4071,APROVADO
existencia_diagnostico_carteiras_csv,existencia_entradas,bloqueante,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/diagnostico_educacional_carteiras.csv,arquivo existente,tamanho_bytes=6653,APROVADO
existencia_diagnostico_carteiras_rds,existencia_entradas,bloqueante,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/diagnostico_educacional_carteiras.rds,arquivo existente,tamanho_bytes=1699,APROVADO
existencia_dim_final_csv,existencia_entradas,bloqueante,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/dim_escola_final.csv,arquivo existente,tamanho_bytes=103886,APROVADO
existencia_dim_final_rds,existencia_entradas,bloqueante,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/dim_escola_final.rds,arquivo existente,tamanho_bytes=15706,APROVADO
existencia_indice_csv,existencia_entradas,bloqueante,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/indice_carga_potencial_escola.csv,arquivo existente,tamanho_bytes=16326,APROVADO
existencia_indice_fichas_carteiras_csv,existencia_entradas,bloqueante,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/indice_fichas_carteiras.csv,arquivo existente,tamanho_bytes=5778,APROVADO
existencia_indice_fichas_carteiras_rds,existencia_entradas,bloqueante,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/indice_fichas_carteiras.rds,arquivo existente,tamanho_bytes=775,APROVADO
existencia_indice_rds,existencia_entradas,bloqueante,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/indice_carga_potencial_escola.rds,arquivo existente,tamanho_bytes=3404,APROVADO
existencia_modulo_21_resumo,existencia_entradas,bloqueante,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/documentacao/relatorio/execucao_20260731_001044/15_resumo_execucao.txt,arquivo existente,tamanho_bytes=1012,APROVADO
existencia_modulo_21_session_info,existencia_entradas,bloqueante,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/documentacao/relatorio/execucao_20260731_001044/14_session_info.txt,arquivo existente,tamanho_bytes=1510,APROVADO
existencia_modulo_21_t01,existencia_entradas,bloqueante,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/corpo/tabelas/T01_universos_cobertura_estudo.csv,arquivo existente,tamanho_bytes=600,APROVADO
existencia_modulo_21_t02,existencia_entradas,bloqueante,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/corpo/tabelas/T02_perfil_estrutural_universo_institucional.csv,arquivo existente,tamanho_bytes=1022,APROVADO
existencia_modulo_21_t03,existencia_entradas,bloqueante,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/corpo/tabelas/T03_participacao_composicao_resultados_por_ano.csv,arquivo existente,tamanho_bytes=1433,APROVADO
