caminho_relativo,tamanho_candidato,md5_candidato,sha256_candidato,tamanho_promovido,md5_promovido,sha256_promovido,existe_candidato,existe_promovido,tamanho_identico,md5_identico,sha256_identico,aprovado
00_leia_me/LEIA_ME.md,1534,0e7f964747d655302f8e57c458dc4a86,f02dd7666e7d7aeb104c03de2743e50f285dfd9067c745df405a9583d24ecf42,1534,0e7f964747d655302f8e57c458dc4a86,f02dd7666e7d7aeb104c03de2743e50f285dfd9067c745df405a9583d24ecf42,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
00_leia_me/NOTA_DE_ESCOPO.txt,211,1c971f26757638837906baa4b048ba0d,e392a8fe2031716f58defe5d6d086cb6722ab20c8f35fb7eb9e32e4a0b91340f,211,1c971f26757638837906baa4b048ba0d,e392a8fe2031716f58defe5d6d086cb6722ab20c8f35fb7eb9e32e4a0b91340f,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
01_relatorio_tecnico/22_relatorio_tecnico.html,2400576,260a839ee053c6ded601cd3cc4b08569,eed938262127b0e2961e369674946d676adea32f03ba9a33ebc093f5ce1cebf3,2400576,260a839ee053c6ded601cd3cc4b08569,eed938262127b0e2961e369674946d676adea32f03ba9a33ebc093f5ce1cebf3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
01_relatorio_tecnico/22_relatorio_tecnico.qmd,22916,6b80b96ea944a64400bae5e27807d2a8,2c250f7a6e1cb098ffe41f67ec0079b535815cf7d57f2d885de35940d5012933,22916,6b80b96ea944a64400bae5e27807d2a8,2c250f7a6e1cb098ffe41f67ec0079b535815cf7d57f2d885de35940d5012933,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
02_sumario_executivo/NAO_DISPONIVEL_NESTA_VERSAO.txt,154,23e861cc05f3444392e810042efea209,6321dcb615728aebdb6ba50f4b9d117e68538890e7de8d69d9300937addae679,154,23e861cc05f3444392e810042efea209,6321dcb615728aebdb6ba50f4b9d117e68538890e7de8d69d9300937addae679,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
03_apresentacao/NAO_DISPONIVEL_NESTA_VERSAO.txt,164,b4f7826c111437eb395603acbd3db8ed,1c4fb59c25366f910257f123dd992aa8522d9586bb0f18e0eb0a18dd692eb4b5,164,b4f7826c111437eb395603acbd3db8ed,1c4fb59c25366f910257f123dd992aa8522d9586bb0f18e0eb0a18dd692eb4b5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
04_anexos_tecnicos/24_anexos_tecnicos.docx,613399,58b9334e2a897804e0942564a28e01a0,e69254f8553f51f6225d65a3bceef0d260c7ddb24ef4d5c1dda928c287c0b43e,613399,58b9334e2a897804e0942564a28e01a0,e69254f8553f51f6225d65a3bceef0d260c7ddb24ef4d5c1dda928c287c0b43e,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
04_anexos_tecnicos/24_anexos_tecnicos.html,2590076,f0ddf2c89fc66a6fcca8c21a40b5d14f,79a26ddd41905f9eb0f07348d3714343e65d97474d9a05aa4493baf9b341b0dc,2590076,f0ddf2c89fc66a6fcca8c21a40b5d14f,79a26ddd41905f9eb0f07348d3714343e65d97474d9a05aa4493baf9b341b0dc,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
04_anexos_tecnicos/24_anexos_tecnicos.qmd,23937,ab641468449bed86bc1b86578971d65d,6ce94635e7b25c88a638a7c43329699c51faa58b38de375daf9d7556fa553e0e,23937,ab641468449bed86bc1b86578971d65d,6ce94635e7b25c88a638a7c43329699c51faa58b38de375daf9d7556fa553e0e,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
05_tabelas/anexos/A01_universo_institucional_escolas.csv,10419,cc0167d3215d3f80c4686cf81fd7b8db,c59136c07e59bb201f9a91196acecfd567a793a58a2b1b509b3dc0336570bbc6,10419,cc0167d3215d3f80c4686cf81fd7b8db,c59136c07e59bb201f9a91196acecfd567a793a58a2b1b509b3dc0336570bbc6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
05_tabelas/anexos/A02_universo_operacional_2026.csv,8512,37f84b63f9fa0ae06c5baae323f25fb7,f4ec503fc5d44361040a5ca4f2bbf8eaf515d310d5e5628423bce3df2387040d,8512,37f84b63f9fa0ae06c5baae323f25fb7,f4ec503fc5d44361040a5ca4f2bbf8eaf515d310d5e5628423bce3df2387040d,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
05_tabelas/anexos/A03_resultados_escola_ano_escolar.csv,91656,318be287084084eef5abd6b9bc9b9a93,6f5a42c8aaab9ba06e6a5eab5a3ffde498908597e4e0dde5b4c130f9ea483365,91656,318be287084084eef5abd6b9bc9b9a93,6f5a42c8aaab9ba06e6a5eab5a3ffde498908597e4e0dde5b4c130f9ea483365,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
05_tabelas/anexos/A04_indice_operacional_escolas.csv,15191,fe6b0f8ef4306aeff64604ad7c70aaf6,77bc6077a79f8e23cf183bab0d4a3c0480744299bf4404cb35200b15eca403cf,15191,fe6b0f8ef4306aeff64604ad7c70aaf6,77bc6077a79f8e23cf183bab0d4a3c0480744299bf4404cb35200b15eca403cf,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
05_tabelas/anexos/A05_componentes_indice_operacional.csv,99767,7a853ba2c301265c6c308dabe72a2eea,fb42904a67f7310900c72fff8248cdb4ceebbefa7a8cb650305dd74fd2681899,99767,7a853ba2c301265c6c308dabe72a2eea,fb42904a67f7310900c72fff8248cdb4ceebbefa7a8cb650305dd74fd2681899,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
05_tabelas/anexos/A06_composicao_carteiras.csv,19967,c08b4ba1c017c56b61d86478d76b7932,5784b7921fa8298783982975a4e06f8bd8c3f8bb2be00c653b8f2633d0733a59,19967,c08b4ba1c017c56b61d86478d76b7932,5784b7921fa8298783982975a4e06f8bd8c3f8bb2be00c653b8f2633d0733a59,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
05_tabelas/anexos/A07_diagnostico_educacional_carteiras.csv,6653,8526e7bb50d2a85ac34e60197ec94595,96672c9fd0854c122f392e11632f99c9368dc6589b9817ad9d140595e976d6e5,6653,8526e7bb50d2a85ac34e60197ec94595,96672c9fd0854c122f392e11632f99c9368dc6589b9817ad9d140595e976d6e5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
