id_produto,modulo_origem,caminho_origem,caminho_destino,formato,tamanho_esperado,md5_esperado,sha256_esperado,obrigatorio,publicacao,existe,eh_arquivo,tamanho_observado,md5_observado,sha256_observado,tamanho_aprovado,md5_aprovado,sha256_aprovado,aprovado
M15_BASE_CSV,15,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/base_analitica_final_escola_serie.csv,07_bases_analiticas/modulo_15/base_analitica_final_escola_serie.csv,csv,629573,8c284e904dcf61c705d17de57ee4c615,,TRUE,base_analitica,TRUE,TRUE,629573,8c284e904dcf61c705d17de57ee4c615,5ec919b5ec9516d59b339c0854454a2ee1a44370c219c278366ed2e1690f39c6,TRUE,TRUE,TRUE,TRUE
M15_BASE_RDS,15,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/base_analitica_final_escola_serie.rds,07_bases_analiticas/modulo_15/base_analitica_final_escola_serie.rds,rds,54652,ae935fe3d6e769d592d88c4c23e84a30,,TRUE,base_analitica,TRUE,TRUE,54652,ae935fe3d6e769d592d88c4c23e84a30,7a7066e07040f11b137a59668c3c57f54dfe1b5df43ac170ac892ac7bad7c312,TRUE,TRUE,TRUE,TRUE
M15_DIM_CSV,15,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/dim_escola_final.csv,07_bases_analiticas/modulo_15/dim_escola_final.csv,csv,103886,4a3874f0287ce16372de4413dfee080c,,TRUE,base_analitica,TRUE,TRUE,103886,4a3874f0287ce16372de4413dfee080c,29ba9bbae2b31f4e84ea67e7f790a9d0786fe20f06a0dffa23e28fd83d6d96e6,TRUE,TRUE,TRUE,TRUE
M15_DIM_RDS,15,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/dim_escola_final.rds,07_bases_analiticas/modulo_15/dim_escola_final.rds,rds,15706,39c8f106912fdbcef99caf0434ef11e2,,TRUE,base_analitica,TRUE,TRUE,15706,39c8f106912fdbcef99caf0434ef11e2,c743b3dae099ee12ca789895ae8844212cfe83e0dcb4fd5220b29a30e27b6e38,TRUE,TRUE,TRUE,TRUE
M16_PERFIL_COMPLETO_CSV,16,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/perfil_escola_completo.csv,07_bases_analiticas/modulo_16/perfil_escola_completo.csv,csv,151420,8ad85d621421acf672af7ee07c8d1f57,,TRUE,base_analitica,TRUE,TRUE,151420,8ad85d621421acf672af7ee07c8d1f57,5ec89d651afb5bac92124952e3107694a60d72458f145241e762bc28c36c4114,TRUE,TRUE,TRUE,TRUE
M16_PERFIL_COMPLETO_RDS,16,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/perfil_escola_completo.rds,07_bases_analiticas/modulo_16/perfil_escola_completo.rds,rds,30077,1f149a0b968bd3b0d0f43a9e3e0c4ef1,,TRUE,base_analitica,TRUE,TRUE,30077,1f149a0b968bd3b0d0f43a9e3e0c4ef1,58fa06fb08b576cd92a23fc21affb304d098b8019e873186558e5f0a1bd5fe1a,TRUE,TRUE,TRUE,TRUE
M16_PERFIL_GERENCIAL_CSV,16,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/perfil_escola_gerencial.csv,07_bases_analiticas/modulo_16/perfil_escola_gerencial.csv,csv,96095,35e75d94b2f8b6e84a5a51708afb76e6,,TRUE,base_analitica,TRUE,TRUE,96095,35e75d94b2f8b6e84a5a51708afb76e6,cd311e81380eb830b474c5f020545fb0123af585c1a49a775d618272148eadc7,TRUE,TRUE,TRUE,TRUE
M16_PERFIL_GERENCIAL_RDS,16,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/perfil_escola_gerencial.rds,07_bases_analiticas/modulo_16/perfil_escola_gerencial.rds,rds,22605,ba49b4fe72596f4b0c16b7dc7f830646,,TRUE,base_analitica,TRUE,TRUE,22605,ba49b4fe72596f4b0c16b7dc7f830646,067994c0053930ac0577e4d3631debb345df54fa84b01d1604c3bfd73ea05a9a,TRUE,TRUE,TRUE,TRUE
M16_PERFIL_SERIE_CSV,16,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/perfil_escola_serie_compacto.csv,07_bases_analiticas/modulo_16/perfil_escola_serie_compacto.csv,csv,247852,9ddb99063daea52ac4efa712fd9fad8b,,TRUE,base_analitica,TRUE,TRUE,247852,9ddb99063daea52ac4efa712fd9fad8b,a6eba33d6b688c10a6a80ca95f5cb75499761ad12bd0edbb3c51e85502e32725,TRUE,TRUE,TRUE,TRUE
M16_PERFIL_SERIE_RDS,16,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/perfil_escola_serie_compacto.rds,07_bases_analiticas/modulo_16/perfil_escola_serie_compacto.rds,rds,33017,116a2d0c97085a90aac716d911f75c89,,TRUE,base_analitica,TRUE,TRUE,33017,116a2d0c97085a90aac716d911f75c89,ae79d29f302b746aa247f8c1d40de55211f620e22366d3f63f1018488d70fccb,TRUE,TRUE,TRUE,TRUE
