id_escola,codigo_inep,nome_canonico,assessora_vinculo_administrativo,assessora_gerencial_2026,incluir_indice_carga_2026,score_dimensao_volume,score_dimensao_estrutural,score_dimensao_administrativa,contribuicao_volume,contribuicao_estrutural,contribuicao_administrativa,indice_carga_potencial_operacional,cobertura_indice_operacional,interpretacao_cautelosa,resultados_educacionais_no_indice,nota_uso
ESC_002,43105505,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,clarissa,clarissa,TRUE,69.71153846153845,32.11538461538461,0,27.884615384615383,11.240384615384613,0,39.125,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_003,43105440,EMEF AFONSO GUERREIRO LIMA,graziela,graziela,TRUE,83.89423076923077,59.42307692307692,0,33.557692307692314,20.79807692307692,0,54.35576923076923,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_004,43105459,EMEF AMERICA,nathalia,nathalia,TRUE,23.221153846153843,40.09615384615385,0,9.288461538461538,14.033653846153845,0,23.322115384615383,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_005,43105467,EMEF ARAMY SILVA,priscila,priscila,TRUE,57.74038461538461,38.75,0,23.096153846153847,13.5625,0,36.65865384615385,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_006,43173713,EMEF CAMPOS DO CRISTAL,andreia,andreia,TRUE,25.384615384615383,60.48076923076923,0,10.153846153846153,21.16826923076923,0,31.322115384615383,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_007,43187560,EMEF CHAPEU DO SOL,ruti,ruti,TRUE,88.50961538461539,56.82692307692308,0,35.40384615384615,19.889423076923077,0,55.293269230769226,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_008,43177581,EMEF CHICO MENDES,eliane,eliane,TRUE,81.00961538461539,52.5,0,32.40384615384615,18.375,0,50.77884615384615,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_009,43105475,EMEF DECIO MARTINS COSTA,nathalia,nathalia,TRUE,73.75,35.48076923076923,0,29.5,12.418269230769232,0,41.91826923076923,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_010,43109128,EMEF DEP MARCIRIO GOULART LOUREIRO,marian,marian,TRUE,67.35576923076923,44.61538461538461,0,26.942307692307693,15.615384615384613,0,42.55769230769231,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_011,43109225,EMEF DEP VICTOR ISSLER,clarissa,clarissa,TRUE,87.54807692307692,41.34615384615385,0,35.01923076923077,14.471153846153845,0,49.49038461538461,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_012,43105483,EMEF DOLORES ALCARAZ CALDAS,jalize,jalize,TRUE,97.40384615384616,62.78846153846154,0,38.96153846153847,21.975961538461537,0,60.9375,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_013,43106331,EMEF ESPIRITO SANTO,priscila,priscila,TRUE,0.5288461538461539,33.26923076923077,80,0.21153846153846156,11.644230769230768,20,31.85576923076923,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_014,43106382,EMEF EVARISTO GONCALVES NETTO,jalize,jalize,TRUE,5.192307692307692,37.40384615384615,80,2.0769230769230766,13.091346153846153,20,35.168269230769226,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_015,43109233,EMEF GABRIEL OBINO,amanda,amanda,TRUE,35.09615384615385,16.25,0,14.03846153846154,5.6875,0,19.72596153846154,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_016,43107508,EMEF GOV ILDO MENEGHETTI,clarissa,clarissa,TRUE,95.76923076923077,61.82692307692307,0,38.307692307692314,21.639423076923073,0,59.94711538461539,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_017,43108571,EMEF GRANDE ORIENTE DO RGS,andreia,andreia,TRUE,68.70192307692308,64.42307692307692,0,27.480769230769234,22.54807692307692,0,50.02884615384615,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_018,43105548,EMEF HEITOR VILLA LOBOS,jalize,jalize,TRUE,68.50961538461537,55.86538461538461,0,27.40384615384615,19.552884615384613,0,46.95673076923076,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_019,43172474,EMEF JEAN PIAGET,clarissa,clarissa,TRUE,52.54807692307692,38.55769230769231,0,21.01923076923077,13.495192307692307,0,34.51442307692308,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_020,43109217,EMEF JOAO ANTONIO SATTE,eliane,eliane,TRUE,55.43269230769231,35.86538461538461,0,22.173076923076923,12.552884615384613,0,34.72596153846153,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_021,43219543,EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR,julia,julia,TRUE,2.9807692307692304,39.03846153846153,55,1.1923076923076923,13.663461538461537,13.75,28.60576923076923,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_022,43105491,EMEF JOSE LOUREIRO DA SILVA,jalize,jalize,TRUE,73.75,52.69230769230769,0,29.5,18.44230769230769,0,47.94230769230769,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_023,43169490,EMEF JOSE MARIANO BECK,nathalia,nathalia,TRUE,41.394230769230774,21.153846153846153,0,16.55769230769231,7.403846153846153,0,23.961538461538463,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_024,43109209,EMEF LAURO RODRIGUES,clarissa,clarissa,TRUE,37.35576923076923,48.55769230769231,0,14.942307692307693,16.995192307692307,0,31.9375,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_025,43109063,EMEF LEOCADIA FELIZARDO PRESTES,graziela,graziela,TRUE,31.58653846153846,33.07692307692307,0,12.634615384615385,11.576923076923075,0,24.21153846153846,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_026,43109144,EMEF LIDOVINO FANTON,julia,julia,TRUE,91.58653846153845,56.25,0,36.63461538461538,19.6875,0,56.32211538461538,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_027,43183018,EMEF MARIO QUINTANA,ruti,ruti,TRUE,15.144230769230768,64.27884615384616,0,6.0576923076923075,22.497596153846153,0,28.55528846153846,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_028,43177018,EMEF MIGRANTES,nathalia,nathalia,TRUE,9.807692307692307,31.923076923076923,0,3.923076923076923,11.173076923076923,0,15.096153846153847,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_029,43293069,EMEF MORADAS DA HIPICA,amanda,amanda,TRUE,65.04807692307692,73.75,0,26.01923076923077,25.8125,0,51.831730769230774,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_030,43177034,EMEF MORRO DA CRUZ,andreia,andreia,TRUE,77.21153846153845,47.30769230769231,0,30.884615384615383,16.557692307692307,0,47.44230769230769,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_031,43177042,EMEF NEUSA GOULART BRIZOLA,julia,julia,TRUE,17.307692307692307,45,0,6.923076923076923,15.749999999999998,0,22.67307692307692,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_032,43105513,EMEF NOSSA SENHORA DE FATIMA,amanda,amanda,TRUE,50.81730769230769,31.826923076923073,0,20.32692307692308,11.139423076923075,0,31.466346153846153,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_033,43204643,EMEF NOSSA SENHORA DO CARMO,amanda,amanda,TRUE,54.855769230769226,66.63461538461539,0,21.942307692307693,23.322115384615383,0,45.26442307692308,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_034,43105521,EMEF PEPITA DE LEAO,nathalia,nathalia,TRUE,28.26923076923077,43.65384615384615,0,11.307692307692308,15.278846153846153,0,26.58653846153846,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_035,43048200,EMEF PORTO NOVO,marian,marian,TRUE,20.769230769230766,49.61538461538461,0,8.307692307692307,17.365384615384613,0,25.67307692307692,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_036,43108563,EMEF PRES JOAO BELCHIOR MARQUES GOULART,marian,marian,TRUE,43.75,34.80769230769231,0,17.5,12.182692307692307,0,29.682692307692307,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_037,43105530,EMEF PRESIDENTE VARGAS,eliane,eliane,TRUE,19.615384615384613,61.05769230769231,0,7.846153846153846,21.370192307692307,0,29.216346153846153,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_038,43109195,EMEF PROF ANA IRIS DO AMARAL,eliane,eliane,TRUE,18.46153846153846,67.64423076923077,0,7.384615384615384,23.67548076923077,0,31.060096153846153,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_039,43172490,EMEF PROF ANISIO TEIXEIRA,andreia,andreia,TRUE,61.58653846153846,57.11538461538461,0,24.634615384615387,19.990384615384613,0,44.625,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_040,43109071,EMEF PROF GILBERTO JORGE GONCALVES DA SILVA,ruti,ruti,TRUE,12.115384615384615,59.71153846153846,0,4.846153846153847,20.89903846153846,0,25.745192307692307,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_041,43109055,EMEF PROF JUDITH MACEDO DE ARAUJO,graziela,graziela,TRUE,39.61538461538461,46.25,0,15.846153846153847,16.1875,0,32.03365384615385,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_042,43109098,EMEF PROF LARRY JOSE RIBEIRO ALVES,amanda,amanda,TRUE,46.34615384615385,52.40384615384615,0,18.53846153846154,18.341346153846153,0,36.87980769230769,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_043,43293050,EMEF RINCAO,jalize,jalize,TRUE,24.374999999999996,74.32692307692308,0,9.75,26.014423076923077,0,35.76442307692308,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_044,43167179,EMEF SAINT HILAIRE,andreia,andreia,TRUE,79.27884615384616,61.15384615384615,0,31.711538461538467,21.403846153846153,0,53.11538461538462,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_045,43167535,EMEF SAO PEDRO,marian,marian,TRUE,76.39423076923077,30.384615384615383,0,30.55769230769231,10.634615384615383,0,41.19230769230769,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_046,43107842,EMEF SEN ALBERTO PASQUALINI,julia,julia,TRUE,76.0576923076923,67.21153846153847,0,30.423076923076923,23.524038461538463,0,53.94711538461539,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_047,43189253,EMEF TIMBAUVA,nathalia,nathalia,TRUE,38.50961538461539,65.86538461538461,0,15.403846153846155,23.052884615384613,0,38.45673076923077,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_048,43172482,EMEF VER ANTONIO GIUDICE,clarissa,clarissa,TRUE,49.51923076923077,41.05769230769231,0,19.807692307692307,14.370192307692307,0,34.17788461538461,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_049,43109080,EMEF VER CARLOS PESSOA DE BRUM,priscila,priscila,TRUE,90.81730769230768,66.34615384615384,0,36.32692307692307,23.221153846153843,0,59.54807692307692,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_050,43109101,EMEF VER MARTIM ARANHA,priscila,priscila,TRUE,42.54807692307692,60.67307692307693,0,17.01923076923077,21.235576923076923,0,38.25480769230769,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_051,43175120,EMEF VILA MONTE CRISTO,graziela,graziela,TRUE,66.39423076923077,69.03846153846153,0,26.55769230769231,24.163461538461537,0,50.72115384615385,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_052,43173721,EMEF WENCESLAU FONTOURA,eliane,eliane,TRUE,54.32692307692307,72.59615384615385,0,21.73076923076923,25.408653846153847,0,47.13942307692308,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_053,43105246,EMEM EMILIO MEYER,ruti,ruti,TRUE,46.63461538461539,46.63461538461539,0,18.653846153846157,16.322115384615383,0,34.97596153846154,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_054,43106668,ESC EST ENS FUN PROFESSORA LEOPOLDA BARNEWITZ,julia,julia,TRUE,8.461538461538462,43.07692307692307,100,3.384615384615385,15.076923076923075,25,43.46153846153846,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
