id_escola,codigo_inep,nome_canonico,assessora_vinculo_administrativo,assessora_gerencial_2026,incluir_indice_carga_2026,matriculas_anos_iniciais,turmas_anos_iniciais,turmas_anos_iniciais_validas,numero_etapas_amplas_ofertadas,score_dimensao_volume,cobertura_dimensao_volume,score_dimensao_estrutural,cobertura_dimensao_estrutural,score_dimensao_administrativa,cobertura_dimensao_administrativa,contribuicao_volume,contribuicao_estrutural,contribuicao_administrativa,indice_carga_potencial_operacional,cobertura_indice_operacional,interpretacao_cautelosa,resultados_educacionais_no_indice,nota_uso
ESC_002,43105505,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,clarissa,clarissa,TRUE,465,21,21,4,69.71153846153845,1,32.11538461538461,1,0,1,27.884615384615383,11.240384615384613,0,39.125,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_003,43105440,EMEF AFONSO GUERREIRO LIMA,graziela,graziela,TRUE,517,22,22,4,83.89423076923077,1,59.42307692307692,1,0,1,33.557692307692314,20.79807692307692,0,54.35576923076923,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_004,43105459,EMEF AMERICA,nathalia,nathalia,TRUE,261,10,10,2,23.221153846153843,1,40.09615384615385,1,0,1,9.288461538461538,14.033653846153845,0,23.322115384615383,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_005,43105467,EMEF ARAMY SILVA,priscila,priscila,TRUE,422,20,20,3,57.74038461538461,1,38.75,1,0,1,23.096153846153847,13.5625,0,36.65865384615385,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_006,43173713,EMEF CAMPOS DO CRISTAL,andreia,andreia,TRUE,255,10,10,3,25.384615384615383,1,60.48076923076923,1,0,1,10.153846153846153,21.16826923076923,0,31.322115384615383,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_007,43187560,EMEF CHAPEU DO SOL,ruti,ruti,TRUE,542,22,22,4,88.50961538461539,1,56.82692307692308,1,0,1,35.40384615384615,19.889423076923077,0,55.293269230769226,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_008,43177581,EMEF CHICO MENDES,eliane,eliane,TRUE,541,22,22,3,81.00961538461539,1,52.5,1,0,1,32.40384615384615,18.375,0,50.77884615384615,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_009,43105475,EMEF DECIO MARTINS COSTA,nathalia,nathalia,TRUE,511,21,21,3,73.75,1,35.48076923076923,1,0,1,29.5,12.418269230769232,0,41.91826923076923,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_010,43109128,EMEF DEP MARCIRIO GOULART LOUREIRO,marian,marian,TRUE,495,19,19,3,67.35576923076923,1,44.61538461538461,1,0,1,26.942307692307693,15.615384615384613,0,42.55769230769231,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_011,43109225,EMEF DEP VICTOR ISSLER,clarissa,clarissa,TRUE,581,23,23,3,87.54807692307692,1,41.34615384615385,1,0,1,35.01923076923077,14.471153846153845,0,49.49038461538461,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_012,43105483,EMEF DOLORES ALCARAZ CALDAS,jalize,jalize,TRUE,677,27,27,4,97.40384615384616,1,62.78846153846154,1,0,1,38.96153846153847,21.975961538461537,0,60.9375,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
