assessora_gerencial_2026,numero_escolas,matriculas_anos_iniciais_total,escolas_com_matriculas_disponiveis,turmas_anos_iniciais_total,escolas_com_turmas_disponiveis,etapas_amplas_total,soma_indice_operacional_carteira,media_indice_operacional_escolas,mediana_indice_operacional_escolas,desvio_indice_operacional_escolas,iqr_indice_operacional_escolas,minimo_indice_operacional_escolas,maximo_indice_operacional_escolas,soma_contribuicao_volume,soma_contribuicao_estrutural,soma_contribuicao_administrativa,media_score_dimensao_volume,media_score_dimensao_estrutural,media_score_dimensao_administrativa,escolas_complexidade_administrativa,escolas_leitura_operacional_cautelosa,escolas_divergencia_vinculo_gerencial,participacao_maior_contribuicao_escola_pct,participacao_duas_maiores_contribuicoes_pct,hhi_concentracao_escore_operacional,participacao_volume_soma_escore_pct,participacao_estrutural_soma_escore_pct,participacao_administrativa_soma_escore_pct,nota_interpretacao
amanda,5,1948,5,80,5,17,185.16826923076923,37.03365384615385,36.87980769230769,12.422795975032276,13.798076923076927,19.72596153846154,51.831730769230774,100.86538461538463,84.30288461538461,0,50.43269230769231,48.17307692307692,0,0,0,0,27.991691548747244,52.43671296897313,2180.0385730743265,54.47228352589901,45.527716474101,0,"A soma do índice operacional é um agregado relativo dos escores escolares; não mede integralmente horas, deslocamentos, eventos emergenciais, vínculo qualitativo ou toda a carga real."
andreia,5,2228,5,92,5,17,226.53365384615384,45.30673076923077,47.44230769230769,8.42419672263164,5.403846153846153,31.322115384615383,53.11538461538462,124.86538461538463,101.66826923076923,0,62.43269230769231,58.09615384615385,0,0,0,0,23.447017126849044,45.53152656041088,2055.316097240838,55.120015280460116,44.879984719539884,0,"A soma do índice operacional é um agregado relativo dos escores escolares; não mede integralmente horas, deslocamentos, eventos emergenciais, vínculo qualitativo ou toda a carga real."
clarissa,6,2753,6,117,6,21,249.19230769230768,41.532051282051285,36.81971153846154,10.987536926089014,12.637019230769234,31.9375,59.94711538461539,156.98076923076923,92.21153846153845,0,65.40865384615384,43.91025641025641,0,0,0,0,24.056567371507953,43.91688532180893,1763.874538588477,62.995832690229975,37.004167309770025,0,"A soma do índice operacional é um agregado relativo dos escores escolares; não mede integralmente horas, deslocamentos, eventos emergenciais, vínculo qualitativo ou toda a carga real."
eliane,5,1867,5,80,5,14,192.92067307692307,38.58413461538461,34.72596153846153,9.761609307495839,16.079326923076927,29.216346153846153,50.77884615384615,91.53846153846153,101.38221153846153,0,45.76923076923077,57.93269230769231,0,0,0,0,26.3211014890038,50.75571615475671,2102.4106913341193,47.44875708678587,52.551242913214125,0,"A soma do índice operacional é um agregado relativo dos escores escolares; não mede integralmente horas, deslocamentos, eventos emergenciais, vínculo qualitativo ou toda a carga real."
graziela,4,1585,4,67,4,15,161.3221153846154,40.33052884615385,41.37740384615385,14.529652915352333,21.551682692307693,24.21153846153846,54.35576923076923,88.59615384615385,72.72596153846153,0,55.37259615384615,51.94711538461538,0,0,0,0,33.69393533005514,65.13485322604679,2743.3570422315206,54.91879004619282,45.08120995380718,0,"A soma do índice operacional é um agregado relativo dos escores escolares; não mede integralmente horas, deslocamentos, eventos emergenciais, vínculo qualitativo ou toda a carga real."
jalize,5,2025,5,82,5,14,226.76923076923077,45.35384615384615,46.95673076923076,10.580910306150635,12.177884615384613,35.168269230769226,60.9375,107.6923076923077,99.07692307692307,20,53.84615384615385,56.61538461538461,16,1,0,0,26.872031886024423,48.01348371777476,2087.0838865585565,47.4898236092266,43.69063772048846,8.819538670284938,"A soma do índice operacional é um agregado relativo dos escores escolares; não mede integralmente horas, deslocamentos, eventos emergenciais, vínculo qualitativo ou toda a carga real."
julia,5,1540,5,66,5,13,205.0096153846154,41.00192307692308,43.46153846153846,14.982883864404435,25.341346153846157,22.67307692307692,56.32211538461538,78.5576923076923,87.70192307692307,38.75,39.27884615384615,50.11538461538461,31,2,0,0,27.47291402842268,53.787345809296006,2213.649733801953,38.31902818817129,42.77941935181276,18.901552460015946,"A soma do índice operacional é um agregado relativo dos escores escolares; não mede integralmente horas, deslocamentos, eventos emergenciais, vínculo qualitativo ou toda a carga real."
marian,4,1567,4,69,4,13,139.10576923076923,34.77644230769231,35.4375,8.377126209393442,12.853365384615387,25.67307692307692,42.55769230769231,83.3076923076923,55.79807692307692,0,52.06730769230769,39.855769230769226,0,0,0,0,30.593765120619338,60.20598603718808,2608.7980439810704,59.888021013340705,40.111978986659295,0,"A soma do índice operacional é um agregado relativo dos escores escolares; não mede integralmente horas, deslocamentos, eventos emergenciais, vínculo qualitativo ou toda a carga real."
nathalia,6,1789,6,78,6,18,169.34134615384616,28.223557692307693,25.27403846153846,10.094161318950087,12.007211538461533,15.096153846153847,41.91826923076923,85.98076923076924,83.36057692307692,0,35.82532051282051,39.69551282051282,0,0,0,0,24.753712063140565,47.46330522669846,1844.3245448486705,50.773642222411496,49.226357777588504,0,"A soma do índice operacional é um agregado relativo dos escores escolares; não mede integralmente horas, deslocamentos, eventos emergenciais, vínculo qualitativo ou toda a carga real."
priscila,4,1383,4,61,4,12,166.31730769230768,41.57932692307692,37.456730769230774,12.283986898992337,8.120192307692307,31.85576923076923,59.54807692307692,76.65384615384615,69.66346153846153,20,47.90865384615384,49.75961538461539,20,1,0,0,35.80389662947332,58.80499508585304,2663.653407233086,46.088917153263566,41.88587616349656,12.025206683239869,"A soma do índice operacional é um agregado relativo dos escores escolares; não mede integralmente horas, deslocamentos, eventos emergenciais, vínculo qualitativo ou toda a carga real."
