assessora_gerencial_2026,assessora_vinculo_administrativo,divergencia_vinculo_gerencial,id_escola,codigo_inep,nome_canonico,incluir_indice_carga_2026,matriculas_anos_iniciais,turmas_anos_iniciais,turmas_anos_iniciais_validas,numero_etapas_amplas_ofertadas,score_dimensao_volume,cobertura_dimensao_volume,score_dimensao_estrutural,cobertura_dimensao_estrutural,score_dimensao_administrativa,cobertura_dimensao_administrativa,contribuicao_volume,contribuicao_estrutural,contribuicao_administrativa,indice_carga_potencial_operacional,cobertura_indice_operacional,soma_indice_operacional_carteira,contribuicao_escola_soma_indice_carteira_pct,possui_complexidade_administrativa,exige_leitura_operacional_cautelosa,resultados_educacionais_no_indice,nota_uso,nota_carteira
amanda,amanda,FALSE,ESC_015,43109233,EMEF GABRIEL OBINO,TRUE,255,13,13,4,35.09615384615385,1,16.25,1,0,1,14.03846153846154,5.6875,0,19.72596153846154,1,185.16826923076923,10.652992340646502,FALSE,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.,"Contribuição ao escore relativo da carteira; não representa horas, qualidade ou carga total real."
amanda,amanda,FALSE,ESC_029,43293069,EMEF MORADAS DA HIPICA,TRUE,488,19,19,3,65.04807692307692,1,73.75,1,0,1,26.01923076923077,25.8125,0,51.831730769230774,1,185.16826923076923,27.991691548747244,FALSE,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.,"Contribuição ao escore relativo da carteira; não representa horas, qualidade ou carga total real."
amanda,amanda,FALSE,ESC_032,43105513,EMEF NOSSA SENHORA DE FATIMA,TRUE,377,16,16,4,50.81730769230769,1,31.826923076923073,1,0,1,20.32692307692308,11.139423076923075,0,31.466346153846153,1,185.16826923076923,16.993379202907956,FALSE,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.,"Contribuição ao escore relativo da carteira; não representa horas, qualidade ou carga total real."
amanda,amanda,FALSE,ESC_033,43204643,EMEF NOSSA SENHORA DO CARMO,TRUE,408,16,16,4,54.855769230769226,1,66.63461538461539,1,0,1,21.942307692307693,23.322115384615383,0,45.26442307692308,1,185.16826923076923,24.445021420225885,FALSE,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.,"Contribuição ao escore relativo da carteira; não representa horas, qualidade ou carga total real."
amanda,amanda,FALSE,ESC_042,43109098,EMEF PROF LARRY JOSE RIBEIRO ALVES,TRUE,420,16,16,2,46.34615384615385,1,52.40384615384615,1,0,1,18.53846153846154,18.341346153846153,0,36.87980769230769,1,185.16826923076923,19.916915487472416,FALSE,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.,"Contribuição ao escore relativo da carteira; não representa horas, qualidade ou carga total real."
andreia,andreia,FALSE,ESC_006,43173713,EMEF CAMPOS DO CRISTAL,TRUE,255,10,10,3,25.384615384615383,1,60.48076923076923,1,0,1,10.153846153846153,21.16826923076923,0,31.322115384615383,1,226.53365384615384,13.826694114900569,FALSE,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.,"Contribuição ao escore relativo da carteira; não representa horas, qualidade ou carga total real."
andreia,andreia,FALSE,ESC_017,43108571,EMEF GRANDE ORIENTE DO RGS,TRUE,470,20,20,4,68.70192307692308,1,64.42307692307692,1,0,1,27.480769230769234,22.54807692307692,0,50.02884615384615,1,226.53365384615384,22.084509433561834,FALSE,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.,"Contribuição ao escore relativo da carteira; não representa horas, qualidade ou carga total real."
andreia,andreia,FALSE,ESC_030,43177034,EMEF MORRO DA CRUZ,TRUE,538,21,21,3,77.21153846153845,1,47.30769230769231,1,0,1,30.884615384615383,16.557692307692307,0,47.44230769230769,1,226.53365384615384,20.942719497442646,FALSE,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.,"Contribuição ao escore relativo da carteira; não representa horas, qualidade ou carga total real."
andreia,andreia,FALSE,ESC_039,43172490,EMEF PROF ANISIO TEIXEIRA,TRUE,471,19,19,3,61.58653846153846,1,57.11538461538461,1,0,1,24.634615384615387,19.990384615384613,0,44.625,1,226.53365384615384,19.69905982724591,FALSE,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.,"Contribuição ao escore relativo da carteira; não representa horas, qualidade ou carga total real."
andreia,andreia,FALSE,ESC_044,43167179,EMEF SAINT HILAIRE,TRUE,494,22,22,4,79.27884615384616,1,61.15384615384615,1,0,1,31.711538461538467,21.403846153846153,0,53.11538461538462,1,226.53365384615384,23.447017126849044,FALSE,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.,"Contribuição ao escore relativo da carteira; não representa horas, qualidade ou carga total real."
