entrada,caminho,existe,tamanho_bytes,md5_observado,modulo
base_final_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/base_analitica_final_escola_serie.csv,TRUE,629573,8c284e904dcf61c705d17de57ee4c615,modulo_15
base_final_rds,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/base_analitica_final_escola_serie.rds,TRUE,54652,ae935fe3d6e769d592d88c4c23e84a30,modulo_15
dim_final_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/dim_escola_final.csv,TRUE,103886,4a3874f0287ce16372de4413dfee080c,modulo_15
dim_final_rds,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/dim_escola_final.rds,TRUE,15706,39c8f106912fdbcef99caf0434ef11e2,modulo_15
perfil_completo_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/perfil_escola_completo.csv,TRUE,151420,8ad85d621421acf672af7ee07c8d1f57,modulo_16
perfil_completo_rds,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/perfil_escola_completo.rds,TRUE,30077,1f149a0b968bd3b0d0f43a9e3e0c4ef1,modulo_16
perfil_gerencial_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/perfil_escola_gerencial.csv,TRUE,96095,35e75d94b2f8b6e84a5a51708afb76e6,modulo_16
perfil_gerencial_rds,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/perfil_escola_gerencial.rds,TRUE,22605,ba49b4fe72596f4b0c16b7dc7f830646,modulo_16
perfil_serie_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/perfil_escola_serie_compacto.csv,TRUE,247852,9ddb99063daea52ac4efa712fd9fad8b,modulo_16
perfil_serie_rds,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/perfil_escola_serie_compacto.rds,TRUE,33017,116a2d0c97085a90aac716d911f75c89,modulo_16
indice_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/indice_carga_potencial_escola.csv,TRUE,16326,8cfb06412611985459ffa7a8c2963828,modulo_17
indice_rds,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/indice_carga_potencial_escola.rds,TRUE,3404,7c91709044f94ccfc3b09183f6082a51,modulo_17
componentes_indice_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/componentes_indice_carga_potencial.csv,TRUE,99767,7a853ba2c301265c6c308dabe72a2eea,modulo_17
componentes_indice_rds,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/componentes_indice_carga_potencial.rds,TRUE,6296,b6e7dad6279590c3c492966fd4544708,modulo_17
componentes_educacionais_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/componentes_educacionais_escola_serie.csv,TRUE,100732,c6a452965a7398de2ea6892e1113a833,modulo_17
componentes_educacionais_rds,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/componentes_educacionais_escola_serie.rds,TRUE,17332,37996354b10460a4d2bcc3969a7ed667,modulo_17
analise_carteiras_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/analise_carteiras_assessoras.csv,TRUE,6717,09a39c8ff8e99a2e08fa8dcaf1934c8d,modulo_18
analise_carteiras_rds,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/analise_carteiras_assessoras.rds,TRUE,2051,fd5e0f3a600d7effe9fb49b8f94ae43a,modulo_18
detalhe_carteiras_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/carteira_escola_detalhe.csv,TRUE,24570,b67c3e52c04086242866809eed56089c,modulo_18
detalhe_carteiras_rds,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/carteira_escola_detalhe.rds,TRUE,4071,2ff7621b617715722b652d956d5e2b11,modulo_18
diagnostico_carteiras_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/diagnostico_educacional_carteiras.csv,TRUE,6653,8526e7bb50d2a85ac34e60197ec94595,modulo_18
diagnostico_carteiras_rds,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/diagnostico_educacional_carteiras.rds,TRUE,1699,4f471bbb40ec0020ddea61a6cfec230b,modulo_18
composicao_carteiras_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/composicao_operacional_carteiras.csv,TRUE,19967,1381da73d8e195fd691e41ee8d873274,modulo_18
composicao_carteiras_rds,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/composicao_operacional_carteiras.rds,TRUE,1318,82d8ea30fb598c6a9380d500219fa79c,modulo_18
universo_carteiras_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/universo_institucional_carteiras.csv,TRUE,9009,e2e9d076ae09d8f605c994a97afb722c,modulo_18
universo_carteiras_rds,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/universo_institucional_carteiras.rds,TRUE,2051,36cb738f4233fdab02e38ca0344f0db4,modulo_18
indice_fichas_carteiras_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/indice_fichas_carteiras.csv,TRUE,5778,013d69c7dc6754239e7085664168c3c1,modulo_20
indice_fichas_carteiras_rds,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/indice_fichas_carteiras.rds,TRUE,775,503664ba7a60a26df40e5c3ee15da87e,modulo_20
modulo_21_t01,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/corpo/tabelas/T01_universos_cobertura_estudo.csv,TRUE,600,509ff1bd5ea0718ad32f3ae77e635e09,modulo_21
modulo_21_t02,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/corpo/tabelas/T02_perfil_estrutural_universo_institucional.csv,TRUE,1022,2e3125073f5a5e86c57a39475846360f,modulo_21
modulo_21_t03,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/corpo/tabelas/T03_participacao_composicao_resultados_por_ano.csv,TRUE,1433,ec4a37c8f360ccb74801e5607528b7a1,modulo_21
modulo_21_t04,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/corpo/tabelas/T04_sintese_nao_ordinal_carteiras_operacionais.csv,TRUE,2752,f171c224d0b7fabe0617374d4994fe6e,modulo_21
modulo_21_t05,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/corpo/tabelas/T05_dimensoes_operacionais_carteiras.csv,TRUE,926,1180c454cf2d92d2658572193e6f5fb3,modulo_21
modulo_21_t06,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/corpo/tabelas/T06_cautelas_metodologicas.csv,TRUE,940,fa5421007a31a68989f84ea785f30e9d,modulo_21
modulo_21_validacao_universos,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/documentacao/relatorio/execucao_20260731_001044/05_validacao_universos.csv,TRUE,444,7a30ee62d8c599dd9537290bad244208,
modulo_21_session_info,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/documentacao/relatorio/execucao_20260731_001044/14_session_info.txt,TRUE,1510,14696c06e6935b8533f13d8d5719b4e0,
modulo_21_resumo,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/documentacao/relatorio/execucao_20260731_001044/15_resumo_execucao.txt,TRUE,1012,702ba14ae3e6894a0bd0cde09e8b6b1f,
modulo_22_qmd,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/22_relatorio_tecnico.qmd,TRUE,22916,6b80b96ea944a64400bae5e27807d2a8,
modulo_22_html,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/22_relatorio_tecnico.html,TRUE,2400576,260a839ee053c6ded601cd3cc4b08569,
