entrada,modulo,caminho,tamanho_bytes,md5
base_final_csv,modulo_15,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/base_analitica_final_escola_serie.csv,629573,8c284e904dcf61c705d17de57ee4c615
base_final_rds,modulo_15,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/base_analitica_final_escola_serie.rds,54652,ae935fe3d6e769d592d88c4c23e84a30
dim_final_csv,modulo_15,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/dim_escola_final.csv,103886,4a3874f0287ce16372de4413dfee080c
dim_final_rds,modulo_15,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/dim_escola_final.rds,15706,39c8f106912fdbcef99caf0434ef11e2
perfil_completo_csv,modulo_16,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/perfil_escola_completo.csv,151420,8ad85d621421acf672af7ee07c8d1f57
perfil_completo_rds,modulo_16,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/perfil_escola_completo.rds,30077,1f149a0b968bd3b0d0f43a9e3e0c4ef1
perfil_gerencial_csv,modulo_16,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/perfil_escola_gerencial.csv,96095,35e75d94b2f8b6e84a5a51708afb76e6
perfil_gerencial_rds,modulo_16,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/perfil_escola_gerencial.rds,22605,ba49b4fe72596f4b0c16b7dc7f830646
perfil_serie_csv,modulo_16,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/perfil_escola_serie_compacto.csv,247852,9ddb99063daea52ac4efa712fd9fad8b
perfil_serie_rds,modulo_16,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/perfil_escola_serie_compacto.rds,33017,116a2d0c97085a90aac716d911f75c89
indice_csv,modulo_17,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/indice_carga_potencial_escola.csv,16326,8cfb06412611985459ffa7a8c2963828
indice_rds,modulo_17,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/indice_carga_potencial_escola.rds,3404,7c91709044f94ccfc3b09183f6082a51
componentes_indice_csv,modulo_17,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/componentes_indice_carga_potencial.csv,99767,7a853ba2c301265c6c308dabe72a2eea
componentes_indice_rds,modulo_17,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/componentes_indice_carga_potencial.rds,6296,b6e7dad6279590c3c492966fd4544708
componentes_educacionais_csv,modulo_17,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/componentes_educacionais_escola_serie.csv,100732,c6a452965a7398de2ea6892e1113a833
componentes_educacionais_rds,modulo_17,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/componentes_educacionais_escola_serie.rds,17332,37996354b10460a4d2bcc3969a7ed667
analise_carteiras_csv,modulo_18,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/analise_carteiras_assessoras.csv,6717,09a39c8ff8e99a2e08fa8dcaf1934c8d
analise_carteiras_rds,modulo_18,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/analise_carteiras_assessoras.rds,2051,fd5e0f3a600d7effe9fb49b8f94ae43a
detalhe_carteiras_csv,modulo_18,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/carteira_escola_detalhe.csv,24570,b67c3e52c04086242866809eed56089c
detalhe_carteiras_rds,modulo_18,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/carteira_escola_detalhe.rds,4071,2ff7621b617715722b652d956d5e2b11
diagnostico_carteiras_csv,modulo_18,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/diagnostico_educacional_carteiras.csv,6653,8526e7bb50d2a85ac34e60197ec94595
diagnostico_carteiras_rds,modulo_18,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/diagnostico_educacional_carteiras.rds,1699,4f471bbb40ec0020ddea61a6cfec230b
composicao_carteiras_csv,modulo_18,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/composicao_operacional_carteiras.csv,19967,1381da73d8e195fd691e41ee8d873274
composicao_carteiras_rds,modulo_18,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/composicao_operacional_carteiras.rds,1318,82d8ea30fb598c6a9380d500219fa79c
universo_carteiras_csv,modulo_18,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/universo_institucional_carteiras.csv,9009,e2e9d076ae09d8f605c994a97afb722c
universo_carteiras_rds,modulo_18,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/universo_institucional_carteiras.rds,2051,36cb738f4233fdab02e38ca0344f0db4
indice_fichas_carteiras_csv,modulo_20,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/indice_fichas_carteiras.csv,5778,013d69c7dc6754239e7085664168c3c1
indice_fichas_carteiras_rds,modulo_20,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/indice_fichas_carteiras.rds,775,503664ba7a60a26df40e5c3ee15da87e
modulo_21_t01,modulo_21,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/corpo/tabelas/T01_universos_cobertura_estudo.csv,600,509ff1bd5ea0718ad32f3ae77e635e09
modulo_21_t02,modulo_21,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/corpo/tabelas/T02_perfil_estrutural_universo_institucional.csv,1022,2e3125073f5a5e86c57a39475846360f
