id,destino,tipo,titulo,universo,decisao,arquivo,existe,tamanho_bytes,hash_md5,nota_metodologica
T01,Corpo,Tabela,Universos e cobertura do estudo,Múltiplos universos,Produzir,T01_universos_cobertura_estudo.csv,TRUE,600,509ff1bd5ea0718ad32f3ae77e635e09,"Produto descritivo, não causal e sem classificação ordinal."
T02,Corpo,Tabela,Perfil estrutural do universo institucional,56 escolas,Produzir,T02_perfil_estrutural_universo_institucional.csv,TRUE,1022,2e3125073f5a5e86c57a39475846360f,"Produto descritivo, não causal e sem classificação ordinal."
T03,Corpo,Tabela,"Participação, composição e resultados por ano escolar",54/56 escolas avaliativas,Produzir,T03_participacao_composicao_resultados_por_ano.csv,TRUE,1433,ec4a37c8f360ccb74801e5607528b7a1,Desempenho acompanhado de participação/composição; 2025 é linha de base anterior ao assessoramento.
T04,Corpo,Tabela,Síntese não ordinal das carteiras operacionais,53 escolas / 11 assessoras,Produzir,T04_sintese_nao_ordinal_carteiras_operacionais.csv,TRUE,2752,f171c224d0b7fabe0617374d4994fe6e,"Índice operacional parcial, relativo e sem componente educacional; não mede integralmente a carga real."
T05,Corpo,Tabela,Dimensões operacionais das carteiras,53 escolas / 11 assessoras,Produzir,T05_dimensoes_operacionais_carteiras.csv,TRUE,926,1180c454cf2d92d2658572193e6f5fb3,"Índice operacional parcial, relativo e sem componente educacional; não mede integralmente a carga real."
T06,Corpo,Tabela,Cautelas metodológicas e institucionais,Aplicação transversal,Produzir,T06_cautelas_metodologicas.csv,TRUE,940,fa5421007a31a68989f84ea785f30e9d,"Produto descritivo, não causal e sem classificação ordinal."
G01,Corpo,Gráfico,Universos do estudo,Múltiplos universos,Produzir,G01_universos_estudo.png,TRUE,103099,715b9ca8579811227bd4fd7ce4b943e8,"Produto descritivo, não causal e sem classificação ordinal."
G02,Corpo,Gráfico,Composição administrativa institucional,56 escolas,Produzir,G02_composicao_institucional_rede.png,TRUE,116336,5f7d36856d720bbbf8a84877446bfd54,"Produto descritivo, não causal e sem classificação ordinal."
G03,Corpo,Gráfico,Participação por ano escolar,54/56 escolas avaliativas,Produzir,G03_participacao_por_ano_escolar.png,TRUE,97950,1ffa601c3d080fe40320e0b5f8f3575d,Desempenho acompanhado de participação/composição; 2025 é linha de base anterior ao assessoramento.
G04,Corpo,Gráfico,Participação e proficiência observada,54/56 escolas avaliativas,Produzir,G04_participacao_proficiencia_observada.png,TRUE,116171,bca8807a76e2f9f9927b848020d6adf4,Desempenho acompanhado de participação/composição; 2025 é linha de base anterior ao assessoramento.
G05,Corpo,Gráfico,Extensão e intensidade das carteiras,53 escolas / 11 assessoras,Produzir,G05_extensao_intensidade_carteiras.png,TRUE,180913,259d5ee415f12c3f2dae0d1778e8aedd,"Índice operacional parcial, relativo e sem componente educacional; não mede integralmente a carga real."
G06,Corpo,Gráfico,Dimensões operacionais das carteiras,53 escolas / 11 assessoras,Produzir,G06_dimensoes_operacionais_carteiras.png,TRUE,236291,dd54e175649b07a7e1bb3ff0ab0ab332,"Índice operacional parcial, relativo e sem componente educacional; não mede integralmente a carga real."
A01,Anexo,Tabela,Universo institucional das escolas,56 escolas,Selecionar,A01_universo_institucional_escolas.csv,TRUE,10419,cc0167d3215d3f80c4686cf81fd7b8db,"Produto descritivo, não causal e sem classificação ordinal."
A02,Anexo,Tabela,Universo operacional de 2026,53 escolas,Selecionar,A02_universo_operacional_2026.csv,TRUE,8512,37f84b63f9fa0ae06c5baae323f25fb7,"Produto descritivo, não causal e sem classificação ordinal."
A03,Anexo,Tabela,Resultados escola × ano escolar,Universos avaliativos,Selecionar,A03_resultados_escola_ano_escolar.csv,TRUE,91656,318be287084084eef5abd6b9bc9b9a93,Desempenho acompanhado de participação/composição; 2025 é linha de base anterior ao assessoramento.
A04,Anexo,Tabela,Índice operacional por escola,53 escolas,Selecionar,A04_indice_operacional_escolas.csv,TRUE,15191,fe6b0f8ef4306aeff64604ad7c70aaf6,"Índice operacional parcial, relativo e sem componente educacional; não mede integralmente a carga real."
A05,Anexo,Tabela,Componentes do índice operacional,53 escolas,Selecionar,A05_componentes_indice_operacional.csv,TRUE,99767,7a853ba2c301265c6c308dabe72a2eea,"Índice operacional parcial, relativo e sem componente educacional; não mede integralmente a carga real."
A06,Anexo,Tabela,Composição das carteiras,53 escolas / 11 assessoras,Selecionar,A06_composicao_carteiras.csv,TRUE,19967,c08b4ba1c017c56b61d86478d76b7932,"Índice operacional parcial, relativo e sem componente educacional; não mede integralmente a carga real."
A07,Anexo,Tabela,Diagnóstico educacional das carteiras,11 assessoras,Selecionar,A07_diagnostico_educacional_carteiras.csv,TRUE,6653,8526e7bb50d2a85ac34e60197ec94595,Desempenho acompanhado de participação/composição; 2025 é linha de base anterior ao assessoramento.
A08,Anexo,Tabela,Escolas institucionais não operacionais,3 escolas,Selecionar,A08_escolas_institucionais_nao_operacionais.csv,TRUE,1251,c4a82a726922395e0492656becc38a73,"Produto descritivo, não causal e sem classificação ordinal."
