ano,ano_escolar,componente,numero_escolas,numero_turmas,previstos,avaliados,taxa_participacao,escolas_participacao_abaixo_70,escolas_participacao_70_79,escolas_participacao_80_89,escolas_participacao_90_mais,participacao_mediana_escolas,participacao_p25_escolas,participacao_p75_escolas
2025,1,Língua Portuguesa,54,175,3711,2705,72.89140393424952,0,1,0,0,72.89140393424952,72.89140393424952,72.89140393424952
2026,1,Língua Portuguesa,56,190,3926,3198,81.45695364238411,0,0,1,0,81.45695364238411,81.45695364238411,81.45695364238411
2025,2,Língua Portuguesa,54,171,3937,3024,76.80975361950723,0,1,0,0,76.80975361950723,76.80975361950723,76.80975361950723
2026,2,Língua Portuguesa,55,170,3691,3149,85.31563261988622,0,0,1,0,85.31563261988622,85.31563261988622,85.31563261988622
2025,3,Língua Portuguesa,54,185,4502,3450,76.63260772989783,0,1,0,0,76.63260772989783,76.63260772989783,76.63260772989783
2026,3,Língua Portuguesa,55,181,4390,3688,84.00911161731207,0,0,1,0,84.00911161731207,84.00911161731207,84.00911161731207
2025,4,Língua Portuguesa,54,175,4321,3454,79.93520018514232,0,1,0,0,79.93520018514232,79.93520018514232,79.93520018514232
2026,4,Língua Portuguesa,55,176,4219,3719,88.14885043849253,0,0,1,0,88.14885043849253,88.14885043849253,88.14885043849253
2025,5,Língua Portuguesa,53,164,4046,3268,80.77113198220465,0,0,1,0,80.77113198220465,80.77113198220465,80.77113198220465
2026,5,Língua Portuguesa,55,168,4095,3632,88.69352869352869,0,0,1,0,88.69352869352869,88.69352869352869,88.69352869352869
