assessora,dimensao,categoria,numero_escolas_com_dado,numero_estudantes,percentual_medio_ponderado,proficiencia_media_ponderada
amanda,NSE,Alto,3,15,17.133333333333333,82.26666666666667
amanda,NSE,Baixo,3,36,40.888888888888886,52.05555555555556
amanda,NSE,Médio alto,3,20,23.4,56.8
amanda,NSE,Médio baixo,3,17,20.647058823529413,59.11764705882353
amanda,Raça/cor,Amarela,1,1,2,0
amanda,Raça/cor,Branca,3,25,29.64,64.52
amanda,Raça/cor,Indígena,2,3,4.333333333333333,47.333333333333336
amanda,Raça/cor,Parda,3,41,48.26829268292683,64.1951219512195
amanda,Raça/cor,Preta,3,18,25.88888888888889,47
amanda,Sexo,Feminino,3,52,59.30769230769231,64
amanda,Sexo,Masculino,3,36,41.888888888888886,53.27777777777778
andreia,NSE,Alto,3,44,33.20454545454545,78.72727272727273
andreia,NSE,Baixo,3,28,22.071428571428573,69.57142857142857
andreia,NSE,Médio alto,3,43,27.86046511627907,78.30232558139535
andreia,NSE,Médio baixo,3,41,27.29268292682927,74
andreia,Raça/cor,Amarela,2,6,6,85.33333333333333
andreia,Raça/cor,Branca,3,78,52.717948717948715,78.6923076923077
andreia,Raça/cor,Indígena,2,5,8.4,71.2
andreia,Raça/cor,Parda,3,43,28.813953488372093,72.83720930232558
andreia,Raça/cor,Preta,3,24,16.75,70.25
andreia,Sexo,Feminino,3,71,47.04225352112676,77.74647887323944
andreia,Sexo,Masculino,3,85,56,73.8
clarissa,NSE,Alto,5,42,31.928571428571427,77.76190476190476
clarissa,NSE,Baixo,3,41,28.29268292682927,54.21951219512195
clarissa,NSE,Médio alto,3,53,30.264150943396228,68.69811320754717
clarissa,NSE,Médio baixo,3,40,23.225,56.725
clarissa,Raça/cor,Amarela,2,3,3,96.66666666666667
clarissa,Raça/cor,Branca,3,75,42.906666666666666,64.22666666666667
clarissa,Raça/cor,Indígena,1,2,3,40
clarissa,Raça/cor,Parda,5,63,38.26984126984127,71.65079365079364
clarissa,Raça/cor,Preta,3,33,19.96969696969697,51.878787878787875
clarissa,Sexo,Feminino,4,89,51.258426966292134,67.3932584269663
clarissa,Sexo,Masculino,4,87,50.71264367816092,62.206896551724135
eliane,NSE,Alto,2,7,18.285714285714285,77.71428571428571
eliane,NSE,Baixo,2,8,19.25,70.125
eliane,NSE,Médio alto,2,13,31.23076923076923,84.07692307692308
eliane,NSE,Médio baixo,2,15,35.4,83.6
eliane,Raça/cor,Amarela,0,0,,
eliane,Raça/cor,Branca,2,15,34.666666666666664,82.66666666666667
eliane,Raça/cor,Indígena,0,0,,
eliane,Raça/cor,Parda,2,21,49.333333333333336,81.33333333333333
eliane,Raça/cor,Preta,2,7,18.285714285714285,72
eliane,Sexo,Feminino,2,31,72.25806451612904,81
eliane,Sexo,Masculino,2,12,28.25,77.75
graziela,NSE,Alto,4,32,19.15625,75.5625
graziela,NSE,Baixo,4,47,25.659574468085108,52.276595744680854
graziela,NSE,Médio alto,4,55,29.2,66.87272727272727
graziela,NSE,Médio baixo,4,57,30.228070175438596,70.36842105263158
graziela,Raça/cor,Amarela,3,4,3,80
graziela,Raça/cor,Branca,4,75,39.77333333333333,68.92
graziela,Raça/cor,Indígena,2,5,6,41
graziela,Raça/cor,Parda,4,66,35.75757575757576,69.1969696969697
graziela,Raça/cor,Preta,4,41,22.878048780487806,56.31707317073171
graziela,Sexo,Feminino,4,99,52.343434343434346,66.3030303030303
graziela,Sexo,Masculino,4,92,48.90217391304348,65.54347826086956
jalize,NSE,Alto,4,34,20.823529411764707,72.05882352941177
jalize,NSE,Baixo,3,48,31.75,59.458333333333336
jalize,NSE,Médio alto,4,33,20.303030303030305,72
jalize,NSE,Médio baixo,4,53,32.39622641509434,61.18867924528302
jalize,Raça/cor,Amarela,2,2,2.5,35
jalize,Raça/cor,Branca,4,52,32.13461538461539,70.23076923076923
jalize,Raça/cor,Indígena,3,6,4.333333333333333,59.666666666666664
jalize,Raça/cor,Parda,4,66,40.10606060606061,64.31818181818181
jalize,Raça/cor,Preta,4,42,25.80952380952381,61.38095238095238
jalize,Sexo,Feminino,4,88,54.625,64.31818181818181
jalize,Sexo,Masculino,4,80,49.3875,65.5375
julia,NSE,Alto,4,36,35.083333333333336,70.55555555555556
julia,NSE,Baixo,4,35,36.628571428571426,47.17142857142857
julia,NSE,Médio alto,4,21,23.666666666666668,75.95238095238095
julia,NSE,Médio baixo,3,26,25.923076923076923,55.15384615384615
julia,Raça/cor,Amarela,0,0,,
julia,Raça/cor,Branca,4,51,49.05882352941177,60.84313725490196
julia,Raça/cor,Indígena,2,3,3.6666666666666665,24
julia,Raça/cor,Parda,4,41,38.36585365853659,68
julia,Raça/cor,Preta,4,23,27.565217391304348,54.82608695652174
julia,Sexo,Feminino,4,59,51.86440677966102,65.79661016949153
julia,Sexo,Masculino,4,59,51.847457627118644,57.067796610169495
marian,NSE,Alto,4,20,27.1,76.15
marian,NSE,Baixo,3,28,31.785714285714285,61.5
marian,NSE,Médio alto,3,22,28.045454545454547,64.22727272727273
marian,NSE,Médio baixo,3,24,27.125,57.833333333333336
marian,Raça/cor,Amarela,1,2,7,51
marian,Raça/cor,Branca,4,32,36.03125,74.40625
marian,Raça/cor,Indígena,3,5,7.2,50.8
marian,Raça/cor,Parda,3,38,41.078947368421055,59.73684210526316
marian,Raça/cor,Preta,3,17,18.352941176470587,60.64705882352941
marian,Sexo,Feminino,4,53,57.528301886792455,66.18867924528301
marian,Sexo,Masculino,3,41,45.609756097560975,60.97560975609756
nathalia,NSE,Alto,2,18,22.22222222222222,74.66666666666667
nathalia,NSE,Baixo,2,22,28.727272727272727,53
nathalia,NSE,Médio alto,2,15,18.333333333333332,56.666666666666664
nathalia,NSE,Médio baixo,2,29,34.241379310344826,63.37931034482759
nathalia,Raça/cor,Amarela,1,1,3,42
nathalia,Raça/cor,Branca,2,25,30.12,59.8
nathalia,Raça/cor,Indígena,2,3,3.6666666666666665,61.666666666666664
nathalia,Raça/cor,Parda,2,36,42.666666666666664,64.5
nathalia,Raça/cor,Preta,2,19,22.842105263157894,59.73684210526316
nathalia,Sexo,Feminino,2,39,46.48717948717949,58.41025641025641
nathalia,Sexo,Masculino,2,45,53.955555555555556,64.86666666666666
outras,NSE,Alto,0,0,,
outras,NSE,Baixo,0,0,,
outras,NSE,Médio alto,0,0,,
outras,NSE,Médio baixo,0,0,,
outras,Raça/cor,Amarela,0,0,,
outras,Raça/cor,Branca,0,0,,
outras,Raça/cor,Indígena,0,0,,
outras,Raça/cor,Parda,0,0,,
outras,Raça/cor,Preta,0,0,,
outras,Sexo,Feminino,0,0,,
outras,Sexo,Masculino,0,0,,
priscila,NSE,Alto,3,8,8.875,65.375
priscila,NSE,Baixo,3,35,41.94285714285714,47.77142857142857
priscila,NSE,Médio alto,2,24,29.125,73
priscila,NSE,Médio baixo,3,26,28.76923076923077,59.80769230769231
priscila,Raça/cor,Amarela,1,1,2,70
