assessora,numero_escolas,escolas_rede_direta_2024,escolas_privadas_vinculadas,matriculas_total_anos_iniciais,mediana_matriculas_anos_iniciais,turmas_total_anos_iniciais,docentes_total_anos_iniciais,infraestrutura_media,pct_integral_medio_ponderado,pct_educacao_especial_medio_ponderado,alunos_por_turma_agregado,alunos_por_docente_agregado
Sem vinculação informada,1,0,1,109,109,0,0,80,100,6.598984771573604,,
amanda,5,5,0,1948,408,80,110,94,14.8870636550308,6.860941705669714,24.35,17.70909090909091
andreia,5,5,0,2228,471,92,125,94,15.26032315978456,9.502441601694358,24.217391304347824,17.824
clarissa,6,6,0,2753,434.5,117,178,96.66666666666667,4.758445332364693,8.14959397138512,23.52991452991453,15.46629213483146
eliane,5,5,0,1867,417,80,124,86,29.88752008569898,9.401186161691601,23.3375,15.056451612903226
graziela,4,4,0,1585,410.5,67,96,90,11.798107255520504,8.357072007066702,23.65671641791045,16.510416666666668
jalize,4,4,0,1925,489,77,98,92.5,16.155844155844157,8.161235857701408,25,19.642857142857142
julia,4,4,0,1386,376.5,58,109,87.5,28.427128427128427,8.829169083866104,23.896551724137932,12.715596330275229
marian,4,4,0,1567,417.5,69,114,100,17.740906190172304,8.393965675504655,22.71014492753623,13.74561403508772
nathalia,6,6,0,1789,295,78,128,95,11.403018446059251,8.06722645089226,22.935897435897434,13.9765625
outras,2,0,2,404,202,22,24,75,11.138613861386139,5.4506701083214395,18.363636363636363,16.833333333333332
priscila,3,3,0,1329,422,57,72,93.33333333333333,21.068472535741158,9.331785201535325,23.31578947368421,18.458333333333332
ruti,4,4,0,1261,305,55,92,85,39.65107057890563,9.683000043806606,22.927272727272726,13.706521739130435
