ano,ano_escolar,componente,unidade,dimensao,categoria,percentual,numero_estudantes,proficiencia_grupo
2026,5,Língua Portuguesa,Rede municipal de Porto Alegre,NSE,Baixo,27,363,55
2026,5,Língua Portuguesa,Rede municipal de Porto Alegre,NSE,Médio baixo,27,357,63
2026,5,Língua Portuguesa,Rede municipal de Porto Alegre,NSE,Médio alto,25,330,70
2026,5,Língua Portuguesa,Rede municipal de Porto Alegre,NSE,Alto,21,287,74
2026,5,Língua Portuguesa,Rede municipal de Porto Alegre,Raça/cor,Amarela,2,21,72
2026,5,Língua Portuguesa,Rede municipal de Porto Alegre,Raça/cor,Branca,38,509,69
2026,5,Língua Portuguesa,Rede municipal de Porto Alegre,Raça/cor,Indígena,3,35,53
2026,5,Língua Portuguesa,Rede municipal de Porto Alegre,Raça/cor,Parda,37,499,67
2026,5,Língua Portuguesa,Rede municipal de Porto Alegre,Raça/cor,Preta,20,273,57
2026,5,Língua Portuguesa,Rede municipal de Porto Alegre,Sexo,Feminino,51,686,66
2026,5,Língua Portuguesa,Rede municipal de Porto Alegre,Sexo,Masculino,49,651,64
