dimensao_contextual,categoria,ano_escolar,numero_escolas,matriculas_mediana,participacao_2025_media,proficiencia_2025_media,adequado_2025_media,defasagem_2025_media,delta_participacao_media,delta_proficiencia_media,delta_proficiencia_mediana,delta_adequado_media,delta_defasagem_media
Infraestrutura,Q1 — menor infraestrutura,1,15,239,73.82762331123416,65.1625072272149,57.541841420246996,22.755738537641484,11.409932988759532,-24.775665215007272,-23,-35.588751353329954,22.564445836665694
Infraestrutura,Q2,1,13,446,72.41171678049058,57.5888162296606,45.9657169468887,26.8160706904671,7.5110824591728775,-28.493580208239607,-32.42850241545894,-33.17180738762121,32.55755702273663
Infraestrutura,Q3,1,26,412,73.1749965933506,57.715335393907715,46.80156887767276,28.571224359108232,9.426206134443538,-26.96896209014524,-27.338887282308335,-31.61171864582928,28.288136416753773
Infraestrutura,Q1 — menor infraestrutura,2,14,242,77.11508429171475,66.23047744435291,53.16573273605303,23.70880651554987,11.773958761188748,-7.242546038687051,-5.162500000000001,-10.243775016713709,2.6441621115733334
Infraestrutura,Q2,2,13,446,78.05633657434818,58.914414091060195,41.217658274817694,28.055532040939372,6.620137929608417,-8.216134990561985,-1.2029220779220822,-7.262411430299316,8.157819415782404
Infraestrutura,Q3,2,26,412,76.81031085904077,57.77862909854485,42.51369934277537,31.548094754910856,8.930216719227793,-5.375103654269476,-1.517046802411162,-6.16969110655,2.054572574719862
Infraestrutura,Q1 — menor infraestrutura,3,14,242,78.21199983338519,60.33355302445446,45.4045862163908,28.275767270563072,11.530235792533617,-0.14213978593591747,-2.5,3.5827643346262703,-5.395410435862318
Infraestrutura,Q2,3,13,446,76.40582722065399,52.463501555624255,36.167331097967846,34.91986259395983,6.9728841271435424,-3.6262526278656932,0.4342105263157876,1.6332787202825625,-1.7568716376432145
Infraestrutura,Q3,3,12,480,77.0643417620116,50.61065100383199,35.3021251464831,37.253039987133164,7.418575774785535,-4.975285869691299,-9.130934783373807,-0.7267254351754336,2.2846976626814164
Infraestrutura,Q4 — maior infraestrutura,3,14,372,77.66608452191231,53.110815218026815,34.618281434079364,32.081395413365705,6.149616204208977,-2.3671008247967444,-9.843387708228558,5.196001265772088,1.6187688724818778
Infraestrutura,Q1 — menor infraestrutura,4,14,242,81.33215059605686,67.36421143951577,55.01906725441188,22.489335823125934,10.540020993637166,-6.043325878381139,-7.746527777777779,-6.330090441418959,3.157771282247817
Infraestrutura,Q2,4,13,446,80.32557807905499,60.326891117238915,46.380832184831974,25.928139610720255,5.473616263550309,-9.088405527369376,-8.001724137931035,-8.052011348172062,9.094452100424277
Infraestrutura,Q4 — maior infraestrutura,4,26,412,79.76175836317407,59.01010620797894,44.56980723832075,28.896347539882775,9.381108522688647,-3.8566063721620467,-3.1246239925314576,-2.3236470342723834,2.1556312719893826
Infraestrutura,Q1 — menor infraestrutura,5,10,242,79.93331164762193,66.48554489925897,58.22604200928552,20.840080673990062,9.00999055922928,-2.35360807218236,-2.3016788225244795,-13.10282861937136,-2.230626561374647
Infraestrutura,Q2,5,14,412.5,83.3332378772696,62.20315293291349,50.002344623616295,20.512569894795075,6.041132592438191,-1.0507727373328346,0.725169019549071,-8.240936307353312,-0.7937277897480233
Infraestrutura,Q3,5,2,411.5,78.79163713678243,54.896551724137936,41.6,32.48965517241379,11.784859537275224,2.83272755514135,2.83272755514135,0.996846846846843,-3.7621776949363177
Infraestrutura,Q4 — maior infraestrutura,5,26,412,80.38603265561757,60.728769861844476,49.24238027905868,24.00810194311191,9.243560304883994,-1.8730247034583376,-1.358197858842189,-9.84796631947269,-0.9981881030199125
Porte da escola,Até 149 matrículas,1,4,94.5,71.86435291126367,74.79166666666667,70.58333333333333,9.666666666666668,10.907024703698257,-33.541666666666664,-31,-55,27.375
Porte da escola,150 a 299 matrículas,1,14,242,75.23716559524593,63.75391175874922,53.422057539124104,23.457310020632388,12.066371356384519,-27.707995225798456,-26.969001896633472,-35.34522169946846,26.64391131117772
Porte da escola,300 a 499 matrículas,1,24,418.5,72.6459056650506,61.198173109714034,52.25609325141581,25.80539287474716,8.884155266713615,-28.80821111846127,-31.117822636300897,-34.88956229773236,30.419296229870643
Porte da escola,500 matrículas ou mais,1,12,541.5,72.25309277519112,47.18444614275997,32.76119629314162,37.19986620233805,7.341450174239109,-19.147405717090397,-15.178137906385876,-19.56557101603761,23.719050650648022
Porte da escola,Até 149 matrículas,2,3,80,81.71428571428572,83,73,7.666666666666667,11.248677248677245,-28,-28,-31.666666666666668,26
Porte da escola,150 a 299 matrículas,2,14,242,79.11731847350863,63.68446584972692,50.96893785821619,25.508377304939778,9.273276241452201,-5.557465040414159,-4.246971743738246,-9.776416757495406,0.30533561076893745
Porte da escola,300 a 499 matrículas,2,24,418.5,76.28874392253341,58.51351760105586,41.77306624633164,29.605798238661144,9.01158706899952,-4.180857250271534,-0.8212187406487281,-3.195663209690196,2.4731790475026845
Porte da escola,500 matrículas ou mais,2,12,541.5,75.64137233106776,54.20428997044765,37.532273238545514,35.51993594838066,8.602738471593625,-7.151084154801322,-5.525857093098473,-7.4725346633902205,4.5714844349237325
Porte da escola,Até 149 matrículas,3,3,80,83.87742155858098,69.38461538461539,49.51282051282051,15.87179487179487,4.0855414043819875,-2.3846153846153846,-2,7.82051282051282,-0.8717948717948705
Porte da escola,150 a 299 matrículas,3,14,242,78.59116923319934,56.783045506918334,41.55857326739053,30.676907294163488,10.073551316671018,2.3075516729716634,2.3538567969560695,6.34237964533929,-6.19866374819126
Porte da escola,300 a 499 matrículas,3,24,418.5,76.78499572102021,54.6319208176447,37.91097446224132,31.799150323234066,8.341438349869247,-5.386531466721999,-9.130934783373807,0.34189936355382067,2.270668237949038
Porte da escola,500 matrículas ou mais,3,12,541.5,75.46604206181561,46.940992065805126,31.158256563520084,42.143606387565626,6.142288988440553,-3.1541004346030035,-4.437006087640338,1.246183193797076,-1.1162751537688007
Porte da escola,Até 149 matrículas,4,3,80,78.88198757763975,79.33333333333333,65.33333333333333,12.333333333333334,15.854854527623411,-13.666666666666666,-13,-13,2
Porte da escola,150 a 299 matrículas,4,14,242,82.6104388093519,64.80073331298823,51.112460203663645,23.621538688729526,7.488500997105745,-3.053885610612546,-0.7449864498644985,-2.861457109387243,0.43243390213494454
Porte da escola,300 a 499 matrículas,4,24,418.5,79.06097801765513,60.487332912377234,46.58358591706296,27.252635220720652,9.806878299620033,-4.85954312266169,-5.312342268275401,-4.175766557563661,3.4782813980121827
Porte da escola,500 matrículas ou mais,4,12,541.5,80.50273019395563,55.39208748382419,41.871020275009954,31.788063796714127,6.238122516145644,-8.553680528074569,-8.791227388318628,-6.202786640352912,10.245855012210615
Porte da escola,Até 149 matrículas,5,2,94.5,67.29323308270676,48.5,34,31.5,21.694862155388474,16.5,16.5,5.5,-21.5
Porte da escola,150 a 299 matrículas,5,14,242,83.78877114792263,65.10177661113644,53.67935389540031,20.273346030833903,8.096787842876243,-2.5937446970045084,0.17463514746123465,-10.210192972693061,-0.5125906513450139
Porte da escola,300 a 499 matrículas,5,24,418.5,80.06390648026768,63.00358214367757,52.40994510962885,21.918620813553478,9.496733915343786,-1.853526786880248,-1.127183009091965,-9.61757284915619,-1.0037835738825194
Porte da escola,500 matrículas ou mais,5,12,541.5,82.03796269290505,58.66082215878656,47.37045790935937,25.991083514650903,4.49264006738888,-2.7902514650773576,-3.9194719471947153,-11.474197925983736,0.6142811794501248
Situação administrativa em 2024,Fora da rede municipal direta em 2024,1,4,156.5,82.69021739130434,72.77083333333333,65.73611111111111,15.840277777777779,2.7730525848783465,-33.218201754385966,-24.853070175438596,-47.65716374269006,29.120248538011698
