id_escola,codigo_inep,nome_canonico,assessora,ano_escolar,componente,previstos_2025,previstos_2026,avaliados_2025,avaliados_2026,taxa_participacao_2025,taxa_participacao_2026,delta_participacao,proficiencia_media_2025,proficiencia_media_2026,delta_proficiencia,pct_adequado_2025,pct_adequado_2026,delta_pct_adequado,categoria_proficiencia,categoria_participacao,perfil_diagnostico,prioridade_diagnostica,observacao_composicao
ESC_056,,EEF ALDEIA LUMIAR,,1,Língua Portuguesa,20,23,18,16,90,69.56521739130434,-20.434782608695656,62.166666666666664,48,-14.166666666666664,61.333333333333336,29,-32.333333333333336,Redução de proficiência,Redução de participação,Redução de desempenho e participação,Alta,Queda de participação igual ou superior a 10 p.p.
ESC_027,,EMEF MARIO QUINTANA,ruti,2,Língua Portuguesa,49,44,46,34,93.87755102040816,77.27272727272727,-16.604823747680896,49,34.029411764705884,-14.970588235294116,30.5,17.058823529411764,-13.441176470588236,Redução de proficiência,Redução de participação,Redução de desempenho e participação,Alta,Queda de participação igual ou superior a 10 p.p.
ESC_045,,EMEF SAO PEDRO,marian,3,Língua Portuguesa,112,109,99,85,88.39285714285714,77.98165137614679,-10.411205766710353,67.17171717171718,55.61176470588235,-11.559952465834826,48.62626262626262,49.92941176470588,1.30314913844326,Redução de proficiência,Redução de participação,Redução de desempenho e participação,Alta,Queda de participação igual ou superior a 10 p.p.
ESC_030,,EMEF MORRO DA CRUZ,andreia,3,Língua Portuguesa,103,103,84,78,81.55339805825243,75.72815533980582,-5.825242718446603,57.42857142857143,53.17948717948718,-4.249084249084248,45.345238095238095,45.97435897435897,0.629120879120876,Redução de proficiência,Redução de participação,Redução de desempenho e participação,Alta,Sem alerta principal de composição
ESC_055,,ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,outras,4,Língua Portuguesa,5,9,5,8,100,88.88888888888889,-11.111111111111114,100,91,-9,100,75,-25,Redução de proficiência,Redução de participação,Redução de desempenho e participação,Alta,Mudança relevante no público previsto e queda de participação
ESC_041,,EMEF PROF JUDITH MACEDO DE ARAUJO,graziela,5,Língua Portuguesa,60,81,57,71,95,87.65432098765432,-7.345679012345684,76.26315789473684,63.943661971830984,-12.319495922905851,72.21052631578948,43.267605633802816,-28.942920681986664,Redução de proficiência,Redução de participação,Redução de desempenho e participação,Alta,Mudança relevante no número de estudantes previstos
ESC_026,,EMEF LIDOVINO FANTON,julia,5,Língua Portuguesa,107,106,87,74,81.30841121495327,69.81132075471699,-11.49709046023628,51.55172413793103,40.78378378378378,-10.76794035414725,39.0919540229885,17.324324324324323,-21.76762969866418,Redução de proficiência,Redução de participação,Redução de desempenho e participação,Alta,Queda de participação igual ou superior a 10 p.p.
ESC_032,,EMEF NOSSA SENHORA DE FATIMA,amanda,5,Língua Portuguesa,77,72,67,57,87.01298701298701,79.16666666666667,-7.84632034632034,55.582089552238806,49.26315789473684,-6.318931657501963,34.52238805970149,23.68421052631579,-10.8381775333857,Redução de proficiência,Redução de participação,Redução de desempenho e participação,Alta,Sem alerta principal de composição
ESC_018,,EMEF HEITOR VILLA LOBOS,jalize,1,Língua Portuguesa,68,69,48,59,70.58823529411765,85.5072463768116,14.919011082693942,78.83333333333333,7.338983050847458,-71.49435028248587,71.08333333333333,1.8644067796610169,-69.21892655367232,Redução de proficiência,Aumento de participação,Redução com ampliação da participação,Intermediária,Aumento de participação igual ou superior a 10 p.p.
ESC_036,,EMEF PRES JOAO BELCHIOR MARQUES GOULART,marian,1,Língua Portuguesa,59,83,31,71,52.54237288135593,85.5421686746988,32.99979579334287,95.19354838709675,24.802816901408452,-70.39073148568832,96.90322580645162,12.95774647887324,-83.94547932757837,Redução de proficiência,Aumento de participação,Redução com ampliação da participação,Intermediária,Mudança relevante no público previsto e aumento de participação
