ano,ano_escolar,serie,numero_escolas,numero_turmas,previstos,avaliados,taxa_participacao,proficiencia_media,pct_defasagem,pct_intermediario,pct_adequado
2025,1,1º ano,54,175,3711,2705,72.89140393424952,55.971903881700555,29.90536044362292,25.53086876155268,44.597042513863215
2026,1,1º ano,56,190,3926,3198,81.45695364238411,31.944340212632895,56.21263289555972,27.62539086929331,16.316135084427767
2025,2,2º ano,54,171,3937,3024,76.80975361950723,58.08465608465608,30.672949735449738,27.305886243386244,42.07407407407408
2026,2,2º ano,55,170,3691,3149,85.31563261988622,52.305811368688474,34.18450301683074,29.810098443950466,36.04922197523023
2025,3,3º ano,54,185,4502,3450,76.63260772989783,52.498260869565215,35.07826086956522,28.88231884057971,36.09101449275362
2026,3,3º ano,55,181,4390,3688,84.00911161731207,48.409978308026034,35.54338394793926,27.12472885032538,37.373373101952275
2025,4,4º ano,54,175,4321,3454,79.93520018514232,59.65634047481181,27.927620150550087,26.26577880718008,45.86508396062536
2026,4,4º ano,55,176,4219,3719,88.14885043849253,53.580801290669534,33.16886259747244,25.98736219413821,40.939230976068835
2025,5,5º ano,53,164,4046,3268,80.77113198220465,61.99296205630355,23.25091799265606,25.59547123623011,51.21481028151775
2026,5,5º ano,55,168,4095,3632,88.69352869352869,59.85958149779736,22.332048458149774,36.842235682819386,40.84471365638767
