ano_escolar,faixa_delta_participacao,numero_escolas,participacao_2025_media,delta_participacao_media,proficiencia_2025_media,delta_proficiencia_media,delta_proficiencia_mediana,delta_adequado_media,delta_defasagem_media
1,Queda de 10 p.p. ou mais,2,88.15789473684211,-17.585812356979403,50.39430894308943,-6.784014825442373,-6.784014825442373,-18.200382592061217,10.27104256336681
1,Queda entre 5 e 10 p.p.,2,81.3573883161512,-8.57477962049903,39.09134199134199,5.123022043745728,5.123022043745728,5.179400205058101,-6.919658165299612
1,Variação entre -5 e 5 p.p.,11,79.62258307858568,0.4687411894317625,62.8942519151638,-34.15075574321986,-36.07712418300654,-45.27150491233713,30.913754919646127
1,Aumento entre 5 e 10 p.p.,11,73.73792267361516,7.77215746285093,56.212337797200554,-26.98335048637068,-32.42850241545894,-29.225765097311687,31.112253869582496
1,Aumento de 10 p.p. ou mais,28,68.76144463792177,16.98377589557213,62.05525539037647,-27.408835042396824,-23.9437977911128,-33.62348272323011,28.864914650125375
2,Queda de 10 p.p. ou mais,1,93.87755102040816,-16.604823747680896,49,-14.970588235294116,-14.970588235294116,-13.441176470588236,11.294117647058826
2,Queda entre 5 e 10 p.p.,2,76.52252252252252,-6.901310401310404,53.47105911330049,-0.23528675557691514,-0.23528675557691514,3.703997572374359,-6.719140580473635
2,Variação entre -5 e 5 p.p.,19,81.76140651624928,1.3302557033047062,59.944095612383954,-7.360181534825144,-1.668304668304664,-6.276638886496896,6.703899759050503
2,Aumento entre 5 e 10 p.p.,4,80.88440606760469,6.885592610808001,66.02624979427932,6.116827327873887,4.464011400452346,8.98280196090397,-5.6441072103233045
2,Aumento de 10 p.p. ou mais,27,72.86980347188832,17.061965414287215,60.60642555288429,-8.042251586418546,-5.287548138639281,-11.439927973056236,3.4753816978939427
3,Queda de 10 p.p. ou mais,2,92.34457671957671,-17.242639920392207,59.16278166278167,-3.8568993098404896,-3.8568993098404896,4.38234379999086,0.737286896110426
3,Queda entre 5 e 10 p.p.,3,78.13442929814788,-6.6627546225897065,39.764161514531764,9.128883590336002,7.707713593912139,16.65514911702001,-18.13156962406981
3,Variação entre -5 e 5 p.p.,11,80.95213974602962,1.955300125895125,56.36686458972368,-8.343761349046154,-9.682031583440036,-3.5433582965416353,5.400802804810303
3,Aumento entre 5 e 10 p.p.,14,79.79817174892034,7.482015490509961,55.611975279016036,-1.449027331167428,-3.4568456856426764,4.069572899413189,-1.9526922212122313
3,Aumento de 10 p.p. ou mais,23,72.76524578095646,15.452406798315499,53.971881539195365,-2.1556164271427045,-3,2.5516270550555094,-1.1933454739332376
4,Queda de 10 p.p. ou mais,1,100,-11.111111111111114,100,-9,-9,-25,0
4,Variação entre -5 e 5 p.p.,15,84.30817658830229,1.2496666200872388,59.510319732869974,-4.101976329269394,-6.099843841499116,-2.594856319070672,4.102671712485854
4,Aumento entre 5 e 10 p.p.,13,80.03334561057447,7.27296871855067,58.28645145629837,-6.559818687930539,-7.340892814514206,-6.5456934086974154,4.709221831543783
4,Aumento de 10 p.p. ou mais,24,77.15134162720976,15.018485224817624,62.96802671499378,-6.134179664467214,-6.3320381537719115,-4.3623073957524054,3.988463701306333
5,Queda de 10 p.p. ou mais,1,81.30841121495327,-11.49709046023628,51.55172413793103,-10.76794035414725,-10.76794035414725,-21.76762969866418,10.10935073004039
5,Queda entre 5 e 10 p.p.,2,91.00649350649351,-7.595999679333012,65.92262372348782,-9.319213790203907,-9.319213790203907,-19.890549107686184,1.6935061534433098
5,Variação entre -5 e 5 p.p.,18,86.25264053364937,1.8773055018797606,67.80202655793522,-3.369741003498521,-1.8238810016760354,-12.771044415332979,1.1068224646094893
5,Aumento entre 5 e 10 p.p.,10,82.0998387086888,7.113147054528293,58.37325490273506,-3.8890320631588633,-2.0655677114133653,-12.129919023990055,-0.24188324085340743
5,Aumento de 10 p.p. ou mais,21,75.08339310271897,17.15924614894026,58.89879577402474,2.2700924002380813,2.4555555555555486,-4.177528927586929,-4.661715987141567
