ano_escolar,componente,amostra,numero_escolas,delta_proficiencia_media_simples,delta_proficiencia_mediana,delta_adequado_media_simples,delta_defasagem_media_simples
1,Língua Portuguesa,Participação mínima de 70% nos dois anos,35,-24.859797556422617,-28.70614035087719,-30.27700208391755,25.817459738644363
1,Língua Portuguesa,Participação mínima de 80% nos dois anos,8,-28.066147422765347,-29.97022022022022,-36.16173134840886,25.14380865280431
1,Língua Portuguesa,Todas as escolas com resultado nos dois anos,54,-26.726750653259263,-26.969001896633472,-33.09202687278864,27.726045845947404
2,Língua Portuguesa,Participação mínima de 70% nos dois anos,40,-5.287927089344678,-1.493304802605337,-5.609504830402201,2.9298218980592408
2,Língua Portuguesa,Participação mínima de 80% nos dois anos,18,-5.377217199712901,-1.9083860506274277,-4.496239296738931,4.303008589742582
2,Língua Portuguesa,Todas as escolas com resultado nos dois anos,53,-6.5652470647156775,-1.668304668304664,-7.513889954682699,3.707336017168195
3,Língua Portuguesa,Participação mínima de 70% nos dois anos,44,-3.326310640776022,-2.7423941798941804,1.6733436705554126,-0.5365675913657231
3,Língua Portuguesa,Participação mínima de 80% nos dois anos,13,-1.2923612553422479,-7.66702470461869,3.4473141034664536,-1.4171235103995459
3,Língua Portuguesa,Todas as escolas com resultado nos dois anos,53,-2.6787562858265446,-4.249084249084248,2.5549931423989647,-0.9112441740473765
4,Língua Portuguesa,Participação mínima de 70% nos dois anos,51,-5.241899101995445,-6.099843841499116,-4.44963368309966,3.4067092303210242
4,Língua Portuguesa,Participação mínima de 80% nos dois anos,30,-4.744129770345663,-6.251954441074762,-5.022111722582418,2.271099889108717
4,Língua Portuguesa,Todas as escolas com resultado nos dois anos,53,-5.717501883572662,-6.4040650406504085,-4.787023332022343,4.122322421296396
5,Língua Portuguesa,Participação mínima de 70% nos dois anos,46,-1.398745674283678,-0.9293926215263184,-8.788899809624365,-1.3637167329240938
5,Língua Portuguesa,Participação mínima de 80% nos dois anos,29,-3.287875807089305,-1.6755397811298425,-12.759161797559216,-0.5151471673529497
5,Língua Portuguesa,Todas as escolas com resultado nos dois anos,52,-1.5630785812330263,-0.9293926215263184,-9.624131252101082,-1.2864557834347916
