ano_escolar,componente,amostra,numero_escolas,avaliados_2025,avaliados_2026,delta_participacao_media,delta_proficiencia_media_simples,delta_proficiencia_media_ponderada,delta_proficiencia_mediana,delta_proficiencia_p25,delta_proficiencia_p75,delta_adequado_media,delta_defasagem_media
1,Língua Portuguesa,Participação estável e previstos variaram no máximo 20%,6,337,355,0.4177329954515798,-23.959160822589617,-22.284238145099224,-26.969001896633472,-35.96159326285708,-17.159777296651566,-26.8593994906053,27.51674355380829
1,Língua Portuguesa,Participação mínima de 70% nos dois anos,35,1876,2117,6.8660757121216465,-24.859797556422617,-23.477553161421497,-28.70614035087719,-39.78846153846154,-12.387713493414005,-30.27700208391755,25.817459738644363
1,Língua Portuguesa,Participação mínima de 80% nos dois anos,8,346,439,4.109435851128431,-28.066147422765347,-25.65506608508026,-29.97022022022022,-36.6528625289675,-15.806035927029036,-36.16173134840886,25.14380865280431
1,Língua Portuguesa,Participação variou no máximo 5 p.p.,11,520,579,0.4687411894317625,-34.15075574321986,-29.202622671482413,-36.07712418300654,-46.05882352941177,-26.969001896633472,-45.27150491233713,30.913754919646127
1,Língua Portuguesa,Todas com resultado nos dois anos,54,2705,3166,9.516193079558748,-26.726750653259263,-25.045876283435813,-26.969001896633472,-44.38046757164404,-12.209619020608812,-33.09202687278864,27.726045845947404
2,Língua Portuguesa,Participação estável e previstos variaram no máximo 20%,17,1037,1001,1.363917233920687,-6.138073746498957,-6.171589613722733,-1.36578893651766,-7.636363636363626,0.18610421836228144,-5.6507132073192174,5.549907857870453
2,Língua Portuguesa,Participação mínima de 70% nos dois anos,40,2443,2480,6.810805892818106,-5.287927089344678,-5.312428899514457,-1.493304802605337,-13.853185010186833,3.2997944066458054,-5.609504830402201,2.9298218980592408
2,Língua Portuguesa,Participação mínima de 80% nos dois anos,18,913,867,3.767322673511432,-5.377217199712901,-5.480791505776652,-1.9083860506274277,-7.04915976193254,0.187231203380696,-4.496239296738931,4.303008589742582
2,Língua Portuguesa,Participação variou no máximo 5 p.p.,19,1162,1100,1.3302557033047062,-7.360181534825144,-7.122471696031508,-1.668304668304664,-14.615781082716566,-0.21989137014354654,-6.276638886496896,6.703899759050503
2,Língua Portuguesa,Todas com resultado nos dois anos,53,3007,3107,9.114770763046689,-6.5652470647156775,-5.650163439401072,-1.668304668304664,-14.970588235294116,1.4285714285714306,-7.513889954682699,3.707336017168195
3,Língua Portuguesa,Participação estável e previstos variaram no máximo 20%,9,657,650,2.3135831054087297,-9.368445731064359,-8.612641520858157,-9.682031583440036,-14.513131313131318,-2.484788359788361,-4.7804273922891545,6.118827248725302
3,Língua Portuguesa,Participação mínima de 70% nos dois anos,44,2822,2951,7.3639663558713,-3.326310640776022,-3.841980469921801,-2.7423941798941804,-13.412109257022047,4.823755650436436,1.6733436705554126,-0.5365675913657231
3,Língua Portuguesa,Participação mínima de 80% nos dois anos,13,796,821,5.8026223457406685,-1.2923612553422479,-2.3077226706153566,-7.66702470461869,-10.00474383301708,5.921325051759837,3.4473141034664536,-1.4171235103995459
3,Língua Portuguesa,Participação variou no máximo 5 p.p.,11,814,811,1.955300125895125,-8.343761349046154,-7.645789053985717,-9.682031583440036,-13.949909812409814,-2.287795354062478,-3.5433582965416353,5.400802804810303
3,Língua Portuguesa,Todas com resultado nos dois anos,53,3433,3648,8.06015718688092,-2.6787562858265446,-3.4536774803018484,-4.249084249084248,-13.488372093023258,5.921325051759837,2.5549931423989647,-0.9112441740473765
4,Língua Portuguesa,Participação estável e previstos variaram no máximo 20%,11,866,896,0.9887940163053511,-2.3572959017538055,-3.4363030582267124,-2.9845323216109705,-6.251954441074762,1.925274988043995,0.08008557661184051,2.069398397648889
4,Língua Portuguesa,Participação mínima de 70% nos dois anos,51,3320,3532,8.34930854321222,-5.241899101995445,-5.429881829495024,-6.099843841499116,-12.874824684431978,3.4108728384272844,-4.44963368309966,3.4067092303210242
4,Língua Portuguesa,Participação mínima de 80% nos dois anos,30,1951,2025,6.385340222935927,-4.744129770345663,-5.848484018338199,-6.251954441074762,-12.55088326741285,3.2720588235294095,-5.022111722582418,2.271099889108717
4,Língua Portuguesa,Participação variou no máximo 5 p.p.,15,1224,1172,1.2496666200872388,-4.101976329269394,-4.8569583415299835,-6.099843841499116,-7.433985646418993,-0.5760249454191246,-2.594856319070672,4.102671712485854
4,Língua Portuguesa,Todas com resultado nos dois anos,53,3438,3679,8.728794847678852,-5.717501883572662,-5.876411927024781,-6.4040650406504085,-13.59342783505155,3.3627450980392126,-4.787023332022343,4.122322421296396
5,Língua Portuguesa,Participação estável e previstos variaram no máximo 20%,14,958,963,2.030832790623756,-4.875664384816685,-4.3620565285423885,-3.8591560768980138,-7.565707040923478,-0.26845691311464037,-15.360570786616393,1.9091774885338488
5,Língua Portuguesa,Participação mínima de 70% nos dois anos,46,2956,3223,7.222956812004479,-1.398745674283678,-2.0324644100615967,-0.9293926215263184,-6.175721226019922,5.214211380225388,-8.788899809624365,-1.3637167329240938
5,Língua Portuguesa,Participação mínima de 80% nos dois anos,29,1854,2038,4.532305014384145,-3.287875807089305,-3.238105068127605,-1.6755397811298425,-7.660530821917803,2.4555555555555486,-12.759161797559216,-0.5151471673529497
5,Língua Portuguesa,Participação variou no máximo 5 p.p.,18,1176,1265,1.8773055018797606,-3.369741003498521,-3.373285843969922,-1.8238810016760354,-7.102002161481984,1.7292304385616841,-12.771044415332979,1.1068224646094893
5,Língua Portuguesa,Todas com resultado nos dois anos,52,3254,3589,8.434193247845418,-1.5630785812330263,-2.2184448329896678,-0.9293926215263184,-6.743535088564947,4.920445939002333,-9.624131252101082,-1.2864557834347916
