id_escola,nome_canonico,assessora,ano_escolar,avaliados_2025,avaliados_2026,taxa_participacao_2025,taxa_participacao_2026,delta_participacao,proficiencia_media_2025,proficiencia_media_2026,delta_proficiencia,posicao_delta_proficiencia,percentil_delta_proficiencia,faixa_porte_contextual_escola,quartil_infraestrutura_escola
ESC_047,EMEF TIMBAUVA,nathalia,1,43,56,75.43859649122807,90.3225806451613,14.883984153933229,40.58139534883721,83.39285714285714,42.81146179401993,1,1,300 a 499 matrículas,Q1 — menor infraestrutura
ESC_030,EMEF MORRO DA CRUZ,andreia,1,61,67,72.61904761904762,72.04301075268818,-0.5760368663594448,17.60655737704918,38.6865671641791,21.08000978712992,2,0.9811320754716981,500 matrículas ou mais,Q3
ESC_025,EMEF LEOCADIA FELIZARDO PRESTES,graziela,1,36,35,73.46938775510205,85.36585365853658,11.896465903434532,40,52.05714285714286,12.057142857142855,3,0.9622641509433962,150 a 299 matrículas,Q3
ESC_026,EMEF LIDOVINO FANTON,julia,1,77,64,79.38144329896907,69.56521739130434,-9.81622590766473,39.64935064935065,48.9375,9.288149350649348,4,0.9433962264150944,500 matrículas ou mais,Q1 — menor infraestrutura
ESC_046,EMEF SEN ALBERTO PASQUALINI,julia,1,42,66,63.63636363636363,76.74418604651163,13.107822410147996,48.523809523809526,56.93939393939394,8.415584415584412,5,0.9245283018867925,500 matrículas ou mais,Q2
ESC_004,EMEF AMERICA,nathalia,1,38,35,80.85106382978724,92.10526315789474,11.254199328107504,26.05263157894737,30.02857142857143,3.9759398496240586,6,0.9056603773584906,150 a 299 matrículas,Q3
ESC_002,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,clarissa,1,75,57,83.33333333333333,76,-7.333333333333329,38.53333333333333,39.49122807017544,0.9578947368421068,7,0.8867924528301887,300 a 499 matrículas,Q3
ESC_045,EMEF SAO PEDRO,marian,1,82,68,86.3157894736842,71.57894736842105,-14.73684210526315,38.6219512195122,39.22058823529411,0.5986370157819181,8,0.8679245283018868,300 a 499 matrículas,Q3
ESC_009,EMEF DECIO MARTINS COSTA,nathalia,1,76,71,77.55102040816327,85.5421686746988,7.991148266535532,35.38157894736842,32.80281690140845,-2.5787620459599694,9,0.8490566037735849,500 matrículas ou mais,Q3
ESC_032,EMEF NOSSA SENHORA DE FATIMA,amanda,1,44,71,62.857142857142854,78.02197802197803,15.164835164835177,46.29545454545455,40.74647887323944,-5.548975672215107,10,0.8301886792452831,300 a 499 matrículas,Q3
ESC_024,EMEF LAURO RODRIGUES,clarissa,1,51,79,80.95238095238095,89.77272727272727,8.820346320346317,63.35294117647059,57.30379746835443,-6.049143708116155,11,0.8113207547169812,300 a 499 matrículas,Q2
ESC_038,EMEF PROF ANA IRIS DO AMARAL,eliane,1,33,36,68.75,90,21.25,62,55.44444444444444,-6.555555555555557,12,0.7924528301886793,150 a 299 matrículas,Q1 — menor infraestrutura
ESC_010,EMEF DEP MARCIRIO GOULART LOUREIRO,marian,1,66,66,69.47368421052632,77.6470588235294,8.17337461300309,24,14.787878787878787,-9.212121212121213,13,0.7735849056603774,300 a 499 matrículas,Q3
ESC_011,EMEF DEP VICTOR ISSLER,clarissa,1,90,86,77.58620689655173,84.31372549019608,6.727518593644348,51.82222222222222,39.7906976744186,-12.03152454780362,14,0.7547169811320755,500 matrículas ou mais,Q3
ESC_027,EMEF MARIO QUINTANA,ruti,1,32,41,71.11111111111111,89.1304347826087,18.019323671497588,16.5,3.7560975609756095,-12.74390243902439,15,0.7358490566037735,150 a 299 matrículas,Q1 — menor infraestrutura
ESC_056,EEF ALDEIA LUMIAR,,1,18,16,90,69.56521739130434,-20.434782608695656,62.166666666666664,48,-14.166666666666664,16,0.71698113207547165,Até 149 matrículas,Q1 — menor infraestrutura
ESC_016,EMEF GOV ILDO MENEGHETTI,clarissa,1,79,87,72.4770642201835,76.3157894736842,3.838725253500712,49.10126582278481,34.632183908045974,-14.469081914738837,17,0.6981132075471698,500 matrículas ou mais,Q2
ESC_012,EMEF DOLORES ALCARAZ CALDAS,jalize,1,94,106,66.19718309859155,74.64788732394366,8.450704225352112,40.17021276595744,24.28301886792453,-15.887193898032915,18,0.6792452830188679,500 matrículas ou mais,Q2
ESC_042,EMEF PROF LARRY JOSE RIBEIRO ALVES,amanda,1,61,68,70.93023255813954,80.95238095238095,10.022148394241412,43.91803278688525,25.86764705882353,-18.05038572806172,19,0.660377358490566,300 a 499 matrículas,Q3
ESC_006,EMEF CAMPOS DO CRISTAL,andreia,1,32,45,84.21052631578948,100,15.78947368421052,66.125,47.06666666666667,-19.05833333333333,20,0.6415094339622641,150 a 299 matrículas,Q3
ESC_039,EMEF PROF ANISIO TEIXEIRA,andreia,1,61,67,79.22077922077922,91.78082191780824,12.560042697029004,67.73770491803279,48.44776119402985,-19.28994372400294,21,0.6226415094339622,300 a 499 matrículas,Q3
ESC_029,EMEF MORADAS DA HIPICA,amanda,1,66,81,75,89.01098901098901,14.010989010989007,68.51515151515152,47.75308641975309,-20.762065095398427,22,0.6037735849056604,300 a 499 matrículas,Q1 — menor infraestrutura
ESC_054,ESC EST ENS FUN PROFESSORA LEOPOLDA BARNEWITZ,julia,1,15,18,62.5,94.73684210526316,32.236842105263165,69,48,-21,23,0.5849056603773585,150 a 299 matrículas,Q1 — menor infraestrutura
ESC_021,EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR,julia,1,12,36,63.1578947368421,87.8048780487805,24.646983311938392,69,46,-23,24,0.5660377358490566,Até 149 matrículas,Q1 — menor infraestrutura
ESC_048,EMEF VER ANTONIO GIUDICE,clarissa,1,65,76,74.71264367816092,85.3932584269663,10.680614748805382,60.44615384615385,37.276315789473685,-23.169838056680163,25,0.5471698113207547,300 a 499 matrículas,Q3
ESC_044,EMEF SAINT HILAIRE,andreia,1,51,71,68,81.60919540229885,13.609195402298852,51.09803921568628,26.380281690140844,-24.717757525545434,26,0.5283018867924528,300 a 499 matrículas,Q2
ESC_037,EMEF PRESIDENTE VARGAS,eliane,1,38,37,80.85106382978724,82.22222222222223,1.3711583924349924,51.421052631578945,26.18918918918919,-25.231863442389756,27,0.5094339622641509,150 a 299 matrículas,Q1 — menor infraestrutura
